TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
WikiPathways_2024_Mouse,Tyrobp Causal Network In Microglia WP3625,prerank,0.6960470637455244,2.3377918058143967,0.0,0.0,0.0,33_57,33/57,18.96%,CD4;TCIRG1;HCLS1;HLX;PPP1R18;CD37;IL18;TNFRSF1B;RUNX3;C1QC;TYROBP;ITGB2;RBM47;CXCL16;MAF;RNASE6;C3;GPX1;ZFP36L2;ELF4;ITGAM;LHFPL2;SLC1A5;SLC7A7;LYL1;IL10RA;CAPG;PYCARD;NPC2;CD84;PLEK;GAPT;APBB1IP,CD4;TCIRG1;HCLS1;HLX;PPP1R18;CD37;IL18;TNFRSF1B;RUNX3;C1QC;TYROBP;ITGB2;RBM47;CXCL16;MAF;RNASE6;C3;GPX1;ZFP36L2;ELF4;ITGAM;LHFPL2;SLC1A5;SLC7A7;LYL1;IL10RA;CAPG;PYCARD;NPC2;CD84;PLEK;GAPT;APBB1IP;BIN2;IL13RA1;STAT5A;ITGAX;GAL3ST4;ABCC4;NCF2;NCKAP1L;RGS1;RPS6KA1;SAMSN1;TMEM106A;TGFBR1;CYTL1;SH2B3;SPP1;IGSF6;ADAP2;LOXL3;CREB3L2;KCNE3;SFT2D2;DPYD;FKBP15,"[204, 208, 286, 337, 340, 617, 662, 720, 751, 771, 865, 902, 921, 983, 1021, 1044, 1102, 1260, 1465, 1471, 1487, 1607, 1927, 1979, 2171, 2448, 2484, 3056, 3069, 3150, 3296, 3311, 3320, 3511, 3851, 4109, 4130, 4269, 4382, 4720, 4799, 4861, 5141, 5279, 5334, 5624, 6137, 6169, 6253, 6339, 6457, 6824, 7542, 7931, 8750, 12366, 13060]",WikiPathways_2024_Mouse__Tyrobp Causal Network In Microglia WP3625
WikiPathways_2024_Mouse,Cytoplasmic Ribosomal Proteins WP163,prerank,0.6257880650771401,2.2408958908110024,0.0,0.0,0.0,66_76,66/76,32.86%,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL37A;RPL24;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPSA;RPS13;RPS4X;RPL27A;RPL11;FAU;RPS2;RPL36A;RPS6KA1;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30,RPS21;RPL36;RPS19;RPL13;RPS16;RPS8;RPLP1;RPS15;RPS10;RPL18A;RPL34;RPL8;RPS3;RPL18;RPL9;RPL31;RPL27;RPL13A;RPS5;RPL37A;RPL24;RPL6;RPS7;RPL35A;RPL7A;RPL3;RPS24;RPS29;RPS11;RPL38;RPS20;RPS25;RPL35;RPL28;RPS14;RPS27A;RPS28;RPS6;RPS12;RPL29;RPL7;RPL23A;RPL4;RPL19;RPS26;RPL32;RPS18;RPSA;RPS13;RPS4X;RPL27A;RPL11;FAU;RPS2;RPL36A;RPS6KA1;RPL39;RPL10;RPS27;RPL22;RPL17;RPS17;RPS15A;RPLP0;RPL37;RPL30;RPL41;RPS23;RPL10A;RPL21;RPS6KB2;RPL12;RPS6KA2;RPS6KA3;RPL15;RPL26,"[810, 1282, 1703, 1853, 1909, 1915, 1935, 1974, 2055, 2179, 2326, 2353, 2390, 2393, 2420, 2425, 2446, 2457, 2520, 2663, 2693, 2812, 2854, 2893, 2907, 2972, 3103, 3157, 3166, 3230, 3327, 3416, 3450, 3625, 3677, 3702, 3736, 3757, 3808, 3862, 3887, 3924, 3957, 4014, 4020, 4122, 4139, 4210, 4265, 4288, 4296, 4526, 4734, 4852, 5084, 5141, 5209, 5223, 5455, 5460, 5534, 5576, 5586, 5663, 5716, 5756, 6144, 6216, 6728, 7103, 7191, 8558, 9145, 9363, 11953, 14761]",WikiPathways_2024_Mouse__Cytoplasmic Ribosomal Proteins WP163
WikiPathways_2024_Mouse,Fibrin Complement Receptor 3 Signaling Pathway WP5128,prerank,0.6482474974049103,2.0467164352346536,0.0,0.0011626009627151831,0.002,23_40,23/40,20.99%,RELA;IRF3;TYROBP;ITGB2;IRAK2;LBP;LY96;TICAM1;SYK;ITGAM;FCER1G;CCL2;IL6;CXCL3;SRC;IKBKB;IRAK1;CD14;NFKB1;AKT1;TNF;TLR4;CXCL10,RELA;IRF3;TYROBP;ITGB2;IRAK2;LBP;LY96;TICAM1;SYK;ITGAM;FCER1G;CCL2;IL6;CXCL3;SRC;IKBKB;IRAK1;CD14;NFKB1;AKT1;TNF;TLR4;CXCL10;MYD88;PLAT;IL12B;PIK3CA;IKBKG;RHOA;RASSF5;IRAK4;TLR3;PLG;NOS2;TRAF6;CHUK;TICAM2;REL;CBLB;TIRAP,"[68, 315, 865, 902, 990, 1099, 1117, 1184, 1267, 1487, 1513, 1826, 2121, 2258, 2278, 2341, 2376, 2611, 2835, 3267, 3515, 3516, 3676, 4132, 5897, 6713, 7105, 7584, 7817, 8008, 8568, 9420, 9981, 11576, 11998, 12017, 12768, 12847, 13235, 15108]",WikiPathways_2024_Mouse__Fibrin Complement Receptor 3 Signaling Pathway WP5128
WikiPathways_2024_Mouse,Microglia Pathogen Phagocytosis Pathway WP3626,prerank,0.6669500355960836,2.0723222112122315,0.0,0.0015501346169535775,0.002,23_37,23/37,19.05%,LAT;PIK3R2;CYBA;NCF1;C1QA;NCF4;ARPC1B;RAC3;C1QC;PIK3CD;TYROBP;ITGB2;C1QB;SYK;ITGAM;FCER1G;TREM2;VAV3;PTPN6;VAV1;RAC2;TREM1;HCK,LAT;PIK3R2;CYBA;NCF1;C1QA;NCF4;ARPC1B;RAC3;C1QC;PIK3CD;TYROBP;ITGB2;C1QB;SYK;ITGAM;FCER1G;TREM2;VAV3;PTPN6;VAV1;RAC2;TREM1;HCK;NCF2;NCKAP1L;PIK3CG;CYBB;PIK3R3;LYN;PIK3CA;PLCG2;VAV2;RAC1;PIK3CB;PIK3C2A;PIK3R1;PIK3C3,"[194, 350, 417, 461, 479, 553, 654, 747, 771, 790, 865, 902, 1031, 1267, 1487, 1513, 1622, 2050, 2686, 2843, 2938, 3333, 3336, 4720, 4799, 6453, 6563, 6862, 6930, 7105, 7982, 8144, 11471, 13676, 14351, 14526, 17167]",WikiPathways_2024_Mouse__Microglia Pathogen Phagocytosis Pathway WP3626
WikiPathways_2024_Mouse,Apoptosis WP1254,prerank,0.570911131126868,1.9732100297814683,0.0,0.0024802153871257243,0.007,31_73,31/73,16.81%,RELA;CASP7;NFKBIA;IRF7;IRF3;TNFRSF1A;IGF1R;TRAF2;CASP4;IRF1;TNFRSF10B;LTA;CASP1;TNFRSF1B;BID;IGF2;IRF5;BCL2L1;MYC;BCL2;MCL1;BAX;BIRC3;CASP6;IKBKB;BAD;TNFRSF25;RIPK1;JUN;NFKB1;NFKBIB,RELA;CASP7;NFKBIA;IRF7;IRF3;TNFRSF1A;IGF1R;TRAF2;CASP4;IRF1;TNFRSF10B;LTA;CASP1;TNFRSF1B;BID;IGF2;IRF5;BCL2L1;MYC;BCL2;MCL1;BAX;BIRC3;CASP6;IKBKB;BAD;TNFRSF25;RIPK1;JUN;NFKB1;NFKBIB;AKT1;TNF;PMAIP1;BCL2L11;TRADD;IRF2;BIRC5;BOK;PRF1;DFFB;TRAF1;CASP2;BIRC2;CASP9;MAP3K1;CFLAR;IKBKG;DFFA;TRAF3;MAP2K4;HELLS;NFKBIE;IRF4;FAS;CRADD;MAPK10;CASP8;XIAP;HRK;CHUK;CASP3;APAF1;TNFSF10;TNFRSF21;PIK3R1;BCL2L2;MDM2;IGF1;SCAF11;BNIP3L;DIABLO;IRF6,"[68, 112, 132, 161, 315, 390, 486, 494, 515, 538, 539, 631, 645, 720, 779, 826, 1040, 1087, 1232, 1238, 1483, 1799, 1994, 2212, 2341, 2388, 2404, 2701, 2824, 2835, 2943, 3267, 3515, 3544, 3812, 4084, 4161, 4324, 4634, 4709, 5280, 5590, 6081, 6219, 6429, 7054, 7112, 7584, 7631, 7749, 8233, 8418, 8430, 8729, 9493, 9669, 10309, 10378, 11034, 11201, 12017, 12945, 13773, 13874, 14131, 14526, 14527, 15285, 15473, 15513, 16159, 16448, 16733]",WikiPathways_2024_Mouse__Apoptosis WP1254
WikiPathways_2024_Mouse,White Fat Cell Differentiation WP2872,prerank,0.6429013271166121,1.944000034073149,0.0,0.00439204808136847,0.016,16_30,16/30,19.86%,KLF15;TCF7L1;CEBPB;IRF3;TLE3;NR1H3;CEBPD;DDIT3;KLF2;GATA2;GATA3;KLF4;MECOM;PPARG;FOXO1;KLF5,KLF15;TCF7L1;CEBPB;IRF3;TLE3;NR1H3;CEBPD;DDIT3;KLF2;GATA2;GATA3;KLF4;MECOM;PPARG;FOXO1;KLF5;STAT5A;RARA;STAT5B;CEBPA;NR2F2;RORA;WNT10B;CTNNA1;IRF4;SREBF1;CREB1;EBF1;NR3C1;EGR2,"[106, 230, 311, 315, 349, 444, 569, 729, 1446, 1766, 2530, 2806, 3227, 3284, 3351, 3478, 4109, 5072, 5095, 5110, 6803, 7923, 8235, 8413, 8729, 9432, 10478, 12053, 14123, 16961]",WikiPathways_2024_Mouse__White Fat Cell Differentiation WP2872
WikiPathways_2024_Mouse,Adipogenesis Genes WP447,prerank,0.49442433550724374,1.9140498330641866,0.0,0.005425471159337522,0.025,52_124,52/124,21.02%,KLF15;MEF2B;E2F4;CFD;CEBPB;TLE3;TGFB1;NR1H3;CEBPD;PCK1;SOCS3;PLIN2;RXRA;DDIT3;BMP4;DVL1;NR2F1;LPIN1;LIF;LPIN3;AGPAT2;CNTFR;WNT5B;ID3;GADD45B;PPARA;GATA2;BMP1;RETN;SLC2A4;TWIST1;FZD1;IL6;AGRP;IRS2;MIF;GATA3;STAT6;ZMPSTE24;WWTR1;FOXC2;HNF1A;STAT3;PPARG;KLF6;FOXO1;SOCS1;KLF5;TNF;RXRG;GDF10;PPARD,KLF15;MEF2B;E2F4;CFD;CEBPB;TLE3;TGFB1;NR1H3;CEBPD;PCK1;SOCS3;PLIN2;RXRA;DDIT3;BMP4;DVL1;NR2F1;LPIN1;LIF;LPIN3;AGPAT2;CNTFR;WNT5B;ID3;GADD45B;PPARA;GATA2;BMP1;RETN;SLC2A4;TWIST1;FZD1;IL6;AGRP;IRS2;MIF;GATA3;STAT6;ZMPSTE24;WWTR1;FOXC2;HNF1A;STAT3;PPARG;KLF6;FOXO1;SOCS1;KLF5;TNF;RXRG;GDF10;PPARD;SERPINE1;STAT5A;SP1;NCOR2;HMGA1;PLIN1;RARA;STAT5B;CEBPA;IRS1;OSM;LMNA;IL6ST;RBL1;AGT;SMAD3;LPIN2;CELF1;GADD45A;LIFR;TRIB3;E2F1;FRZB;EPAS1;RORA;PCK2;HIF1A;WNT10B;FABP4;NAMPT;NCOA1;CYP26A1;LPL;AHR;SREBF1;FAS;STAT2;NDN;RB1;BSCL2;LIPE;BMP3;CISD1;DLK1;CREB1;BMP2;MBNL1;IRS4;CYP26B1;PPARGC1A;KLF7;EBF1;MEF2D;NSG1;MEF2C;NCOR1;PRLR;NCOA2;RBL2;NR3C1;WNT1;NRIP1;MEF2A;IGF1;MIXL1;SPOCK1;PNPLA3;CTNNB1;PTGIS;SFRP4;STAT1;EGR2,"[106, 121, 229, 280, 311, 349, 386, 444, 569, 572, 619, 632, 710, 729, 730, 1089, 1093, 1110, 1188, 1274, 1353, 1386, 1392, 1413, 1626, 1634, 1766, 1768, 1835, 1904, 1908, 1987, 2121, 2322, 2357, 2475, 2530, 2644, 2844, 2900, 3060, 3074, 3143, 3284, 3324, 3351, 3430, 3478, 3515, 3602, 3659, 3681, 4011, 4109, 4488, 4578, 4727, 4945, 5072, 5095, 5110, 5115, 5273, 5411, 5448, 5706, 5734, 5844, 5918, 6567, 6740, 6831, 7315, 7793, 7828, 7864, 7923, 8217, 8234, 8235, 8786, 8789, 8813, 8895, 8940, 9293, 9432, 9493, 9534, 9598, 9620, 9684, 9728, 9778, 10119, 10158, 10478, 10854, 11269, 11477, 11581, 11622, 11636, 12053, 12103, 12165, 12683, 12807, 12867, 13040, 13576, 14123, 14329, 14451, 15464, 15473, 15628, 15630, 15827, 16018, 16232, 16403, 16938, 16961]",WikiPathways_2024_Mouse__Adipogenesis Genes WP447
WikiPathways_2024_Mouse,IL 3 Signaling Pathway WP373,prerank,0.5103354880764511,1.9144862620882104,0.0,0.006200538467814311,0.025,46_95,46/95,21.88%,HSPB1;MMP9;MRAS;FES;MAPKAPK2;PIK3R2;INPP5D;SOCS3;PXN;RXRA;TNFRSF1B;PIK3CD;SPI1;LCK;FYN;BCL2L1;MAPK3;TYK2;BCL2;SYK;GATA2;BAX;CRK;SRC;BAD;STAT6;PTPN6;CISH;ATF1;SOCS2;NFKB1;VAV1;RAC2;RAF1;CBL;CRKL;STAT3;SLC2A1;AKT1;HCK;FOXO1;RAPGEF1;MAPK7;TEC;BCL2L11;MATK,HSPB1;MMP9;MRAS;FES;MAPKAPK2;PIK3R2;INPP5D;SOCS3;PXN;RXRA;TNFRSF1B;PIK3CD;SPI1;LCK;FYN;BCL2L1;MAPK3;TYK2;BCL2;SYK;GATA2;BAX;CRK;SRC;BAD;STAT6;PTPN6;CISH;ATF1;SOCS2;NFKB1;VAV1;RAC2;RAF1;CBL;CRKL;STAT3;SLC2A1;AKT1;HCK;FOXO1;RAPGEF1;MAPK7;TEC;BCL2L11;MATK;HRAS;STAT5A;BIRC5;GSK3A;SHC1;RARA;STAT5B;RAP1A;MAP2K1;SOS1;ID1;GAB1;LYN;PIK3CA;RPS6KB2;MAPK14;CSF2RB;ATF2;DNM1;JAK2;JAK1;PRKACA;CREB1;GAB2;PRKCA;KCNIP3;GRB2;RAC1;VCL;MMP2;PPP2CA;MAPK1;GATA1;SELP;YWHAB;KRAS;BMX;CHEK1;PAK1;PIK3R1;PRKCB;YWHAZ;MAPK9;GSK3B;PTPN11;CDC42;PTK2;MAPK8;STAT1,"[3, 27, 185, 329, 344, 350, 448, 619, 628, 710, 720, 790, 942, 1019, 1046, 1087, 1114, 1122, 1238, 1267, 1766, 1799, 2270, 2278, 2388, 2644, 2686, 2714, 2770, 2811, 2835, 2843, 2938, 3033, 3071, 3142, 3143, 3156, 3267, 3336, 3351, 3438, 3561, 3674, 3812, 3832, 3976, 4109, 4324, 4452, 4654, 5072, 5095, 5616, 5701, 5826, 6042, 6503, 6930, 7105, 7191, 7304, 7860, 8136, 8266, 8889, 9271, 9427, 10478, 10756, 10873, 10999, 11405, 11471, 11575, 11784, 12732, 12772, 12826, 13476, 13801, 13814, 13982, 14334, 14368, 14526, 14648, 14665, 14702, 15613, 16007, 16108, 16229, 16304, 16938]",WikiPathways_2024_Mouse__IL 3 Signaling Pathway WP373
WikiPathways_2024_Mouse,IL 6 Signaling Pathway WP387,prerank,0.5115215617332768,1.8916835262858094,0.0,0.007578435905106379,0.04,37_97,37/97,19.13%,HSPB1;INPPL1;CEBPB;FES;FGR;MAPKAPK2;PIK3R2;PLCG1;INPP5D;EIF4EBP1;DAXX;SOCS3;PXN;HSP90AA1;FYN;MAPK3;TYK2;PPP2R1B;FOXO4;CD40;CREBBP;MAP2K2;IL6;HDAC1;BAD;ERBB2;BTK;JUN;NFKB1;VAV1;FOS;RAF1;HNF1A;STAT3;AKT1;HCK;FOXO1,HSPB1;INPPL1;CEBPB;FES;FGR;MAPKAPK2;PIK3R2;PLCG1;INPP5D;EIF4EBP1;DAXX;SOCS3;PXN;HSP90AA1;FYN;MAPK3;TYK2;PPP2R1B;FOXO4;CD40;CREBBP;MAP2K2;IL6;HDAC1;BAD;ERBB2;BTK;JUN;NFKB1;VAV1;FOS;RAF1;HNF1A;STAT3;AKT1;HCK;FOXO1;TEC;HRAS;STAT5A;CDK9;SGK1;SHC1;PPP2R5A;STAT5B;IL6ST;MAP2K1;SOS1;PPP2CB;CDK5;CASP9;GAB1;MAP3K4;PPP2R1A;PTK2B;LYN;EP300;MAPK14;PPP2R5D;AR;MAP2K6;FOXO3;MAP2K4;RPS6KB1;NCOA1;JAK2;RPS6KA2;JAK1;PRKCD;RB1;MAP3K7;ERBB3;CDK5R1;GAB2;PPP2R5B;MAPT;GRB2;RAC1;PPP2R2A;PPP2R5C;PPP2CA;MAPK1;PPP2R5E;CASP3;NLK;PPP2R3A;BMX;EIF2A;PPP2R2C;PIK3R1;GSK3B;PTPN11;PPP2R2B;PTK2;MAPK8;EIF4E;STAT1,"[3, 157, 311, 329, 341, 344, 350, 405, 448, 455, 554, 619, 628, 876, 1046, 1114, 1122, 1140, 1318, 1795, 1980, 2104, 2121, 2268, 2388, 2593, 2617, 2824, 2835, 2843, 2889, 3033, 3074, 3143, 3267, 3336, 3351, 3674, 3976, 4109, 4491, 4545, 4654, 4755, 5095, 5448, 5701, 5826, 5975, 6185, 6429, 6503, 6651, 6695, 6883, 6930, 7268, 7304, 7617, 7620, 7672, 8003, 8233, 8326, 8813, 8889, 9145, 9271, 9580, 9620, 9639, 9861, 10324, 10756, 11118, 11206, 11405, 11471, 11670, 12168, 12732, 12772, 12931, 12945, 13369, 13962, 13982, 14039, 14523, 14526, 15613, 16007, 16160, 16229, 16304, 16760, 16938]",WikiPathways_2024_Mouse__IL 6 Signaling Pathway WP387
WikiPathways_2024_Mouse,Endochondral Ossification WP1270,prerank,0.5493741322911573,1.8650012380187013,0.0,0.009920861548502897,0.056,18_56,18/56,12.63%,SERPINH1;MMP9;IHH;PTH1R;SLC38A2;TGFB1;IGF1R;RUNX3;IGF2;CHST11;SCIN;HDAC4;TGFB2;VEGFA;SOX9;BMP7;THRA;FGF2,SERPINH1;MMP9;IHH;PTH1R;SLC38A2;TGFB1;IGF1R;RUNX3;IGF2;CHST11;SCIN;HDAC4;TGFB2;VEGFA;SOX9;BMP7;THRA;FGF2;COL2A1;GLI3;TIMP3;AKT1;FGFR3;FGFR1;STAT5B;ADAMTS1;PLAU;SOX5;PLAT;ENPP1;SPP1;BMPR1A;RUNX2;ACAN;GHR;ALPL;FRZB;FGF18;CDKN1C;MGP;PTCH1;PRKACA;SOX6;COL10A1;IFT88;CAB39;MEF2C;DDR2;ADAMTS4;CALM1;PTHLH;IGF1;KIF3A;HMGCS1;STAT1;ADAMTS5,"[8, 27, 168, 218, 301, 386, 486, 751, 826, 1014, 1109, 1124, 1191, 1439, 2005, 2039, 2052, 2211, 2752, 2987, 3019, 3267, 4371, 4624, 5095, 5129, 5250, 5260, 5897, 5903, 6253, 6579, 6841, 7193, 7202, 7488, 7828, 8121, 8377, 8492, 9019, 9427, 9745, 10785, 11814, 11898, 12683, 13390, 13535, 14779, 14886, 15473, 15974, 16695, 16938, 17321]",WikiPathways_2024_Mouse__Endochondral Ossification WP1270
WikiPathways_2024_Mouse,Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841,prerank,0.43406072549639013,1.8489435257861007,0.0,0.01141462763393089,0.07,84_286,84/286,18.02%,DDIT4;EPHA2;EPOR;ITGA10;HIF3A;CSF1;LAMB2;IFNA2;IL2RG;ANGPT2;FGF17;NOS3;PIK3R2;ATF4;LPAR2;PDGFRB;EIF4EBP1;PIK3R5;IGF1R;FLT4;ITGB5;COL5A3;GNB2;PIK3CD;EFNA4;SLC2A3;HSP90AA1;HGF;ITGB2;CAB39L;STK11;EFNA2;MAPK3;PGF;PPP2R1B;ITGA7;CSF3R;FGF11;FGF22;GYS2;AKT1S1;FGFR4;VEGFA;ITGAM;VEGFB;FLT1;CSF1R;PFKFB3;LAMA5;CDKN1A;ITGA5;CSF3;ITGB4;CDC37;SLC2A4;HSP90AB1;GNB3;ITGA11;MAP2K2;LAMC3;GNGT2;FGF2;IL7R;LPAR5;IKBKB;EGFR;IRS2;BAD;GNG11;CRTC2;COL4A4;ULK1;ITGAL;COL2A1;PFKFB4;RAF1;OSMR;NGF;INSR;EFNA1;COL6A2;TNXB;VWF;SLC2A1,DDIT4;EPHA2;EPOR;ITGA10;HIF3A;CSF1;LAMB2;IFNA2;IL2RG;ANGPT2;FGF17;NOS3;PIK3R2;ATF4;LPAR2;PDGFRB;EIF4EBP1;PIK3R5;IGF1R;FLT4;ITGB5;COL5A3;GNB2;PIK3CD;EFNA4;SLC2A3;HSP90AA1;HGF;ITGB2;CAB39L;STK11;EFNA2;MAPK3;PGF;PPP2R1B;ITGA7;CSF3R;FGF11;FGF22;GYS2;AKT1S1;FGFR4;VEGFA;ITGAM;VEGFB;FLT1;CSF1R;PFKFB3;LAMA5;CDKN1A;ITGA5;CSF3;ITGB4;CDC37;SLC2A4;HSP90AB1;GNB3;ITGA11;MAP2K2;LAMC3;GNGT2;FGF2;IL7R;LPAR5;IKBKB;EGFR;IRS2;BAD;GNG11;CRTC2;COL4A4;ULK1;ITGAL;COL2A1;PFKFB4;RAF1;OSMR;NGF;INSR;EFNA1;COL6A2;TNXB;VWF;SLC2A1;CREB3;AKT1;FOXO1;GNG12;ITGA2B;TBC1D1;RPS6;LAMA3;PELO;AKT2;HRAS;COL1A2;GNG8;CREB3L3;ITGA6;ITGAX;PDGFC;PPP2R2D;FGFR3;GNG5;EGF;COL11A1;ATF6B;EIF4E1B;FGFR1;COL5A1;PPP2R5A;IFNA13;NGFR;COL1A1;IRS1;FGF8;MLST8;JAK3;HSP90B1;OSM;ITGAE;MAP2K1;PPP2R3C;SOS1;EFNA3;PPP2CB;ITGA9;SPP1;CASP9;FGF20;PIK3CG;LAMA1;PDGFB;EFNA5;VEGFC;FGF16;PPP2R1A;RAB11B;RAB8A;PDGFD;ITGB8;ITGB7;PIK3CA;RPS6KB2;GHR;RPTOR;LAMB3;THBS4;CDKN1B;GYS1;CREB3L2;IKBKG;PDGFA;PPP2R5D;PHLPP1;LAMC1;F2R;ITGB3;EPAS1;TEK;ANGPT4;TSC2;FOXO3;ELAVL1;FGF18;ATF2;LAMA2;FOXA1;HIF1A;COL4A2;GNG13;THBS3;RPS6KB1;LPAR1;ITGA3;RHEB;ITGB6;JAK2;IFNA1;LPAR6;JAK1;THBS1;SREBF1;ITGAV;CHAD;EPO;LIPE;LAMA4;IFNAR2;CHRM1;COL4A1;GNG3;KDR;GNG7;IFNA6;EIF4E2;COL11A2;RAB10;PDGFRA;CREB1;PTEN;IFNAR1;FN1;COL4A6;COL5A2;GNG2;CREB3L4;PDPK1;FGFR2;PHLPP2;ANGPT1;TNN;PPP2R5B;LPAR3;FGF1;ITGB1;GRB2;IRS4;PRKAA2;NOS2;ITGA8;PPARGC1A;THBS2;EIF4B;CAB39;ACACA;GNB1;FGF10;FGF7;FGF9;PPP2R5C;PIK3C2B;LPAR4;PIK3C2G;PPP2CA;ITGAD;CREB3L1;MAPK1;PIK3IP1;PRLR;COL3A1;CREB5;PPP2R5E;MTOR;FGF14;STRADA;PIK3CB;KRAS;MET;PPP2R3A;IL2RB;FGF13;TSC1;PFKFB2;PIK3C2A;RAB2A;GNB4;PPP2R2C;PIK3R1;LAMC2;AKT3;RAB14;GNG4;MDM2;IGF1;FGF12;LAMB1;MTCP1;GSK3B;ITGA2;IBSP;GNG10;ITGA4;KIT;NOS1;CHRM2;PFKFB1;PPP2R2B;PTK2;RELN;TNC;TNR;NRAS;EIF4E;PIK3R4;PRKAA1,"[11, 39, 45, 52, 61, 137, 160, 178, 180, 198, 282, 335, 350, 381, 395, 420, 455, 466, 486, 525, 577, 660, 746, 790, 795, 833, 876, 893, 902, 903, 977, 1070, 1114, 1138, 1140, 1142, 1164, 1166, 1206, 1216, 1340, 1389, 1439, 1487, 1509, 1534, 1549, 1594, 1680, 1714, 1748, 1776, 1867, 1874, 1904, 1985, 2026, 2089, 2104, 2141, 2199, 2211, 2230, 2339, 2341, 2347, 2357, 2388, 2472, 2510, 2709, 2735, 2736, 2752, 3002, 3033, 3035, 3051, 3052, 3065, 3098, 3106, 3112, 3156, 3259, 3267, 3351, 3370, 3407, 3500, 3757, 3919, 3938, 3956, 3976, 3978, 4018, 4064, 4120, 4130, 4144, 4283, 4371, 4434, 4444, 4498, 4537, 4566, 4624, 4715, 4755, 4952, 4970, 5109, 5115, 5132, 5180, 5207, 5272, 5273, 5292, 5701, 5821, 5826, 5941, 5975, 6033, 6253, 6429, 6436, 6453, 6474, 6544, 6617, 6620, 6665, 6695, 6712, 6908, 6943, 7057, 7085, 7105, 7191, 7202, 7231, 7368, 7386, 7452, 7509, 7542, 7584, 7604, 7617, 7622, 7640, 7751, 7795, 7864, 7870, 7876, 7998, 8003, 8106, 8121, 8136, 8158, 8215, 8234, 8242, 8244, 8282, 8326, 8629, 8739, 8835, 8865, 8889, 9040, 9144, 9271, 9307, 9432, 9460, 9537, 9692, 9728, 9784, 9792, 9935, 9975, 10116, 10163, 10209, 10218, 10288, 10300, 10353, 10418, 10478, 10528, 10611, 10662, 10672, 10693, 10725, 10914, 10975, 11001, 11011, 11065, 11080, 11118, 11119, 11280, 11311, 11405, 11477, 11483, 11576, 11611, 11622, 11701, 11807, 11898, 11923, 12079, 12099, 12101, 12107, 12168, 12233, 12294, 12690, 12732, 12744, 12752, 12772, 12828, 12867, 12899, 12917, 12931, 13065, 13236, 13446, 13676, 13814, 13901, 13962, 14160, 14173, 14195, 14254, 14351, 14415, 14500, 14523, 14526, 14822, 14998, 15080, 15235, 15285, 15473, 15531, 15592, 15608, 15613, 15635, 15643, 15670, 15698, 15737, 15846, 15902, 16062, 16160, 16229, 16364, 16400, 16585, 16714, 16760, 16837, 17412]",WikiPathways_2024_Mouse__Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841
WikiPathways_2024_Mouse,Oxidative Damage Response WP1496,prerank,0.5960573569682519,1.8337999016694364,0.0020833333333333333,0.013046966359359279,0.088,15_37,15/37,17.02%,C1QA;TRAF2;C3AR1;TNFRSF1B;C1QC;C5AR1;C1QB;BCL2;C4B;CDKN1A;BAD;TNK2;C2;NFKB1;TDP2,C1QA;TRAF2;C3AR1;TNFRSF1B;C1QC;C5AR1;C1QB;BCL2;C4B;CDKN1A;BAD;TNK2;C2;NFKB1;TDP2;TNF;TRAF1;PCNA;CASP9;GADD45A;MAP3K1;CDKN1B;TRAF3;MAP2K4;CDKN1C;NFKBIE;MAPK13;BAK1;MAPK10;BAG4;CYCS;TRAF6;CASP3;CR2;MAP3K9;APAF1;CDC42,"[479, 494, 582, 720, 771, 805, 1031, 1238, 1395, 1714, 2388, 2702, 2744, 2835, 2980, 3515, 5590, 6282, 6429, 6740, 7054, 7452, 7749, 8233, 8377, 8430, 8706, 8735, 10309, 11230, 11932, 11998, 12945, 12962, 13184, 13773, 16108]",WikiPathways_2024_Mouse__Oxidative Damage Response WP1496
