TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
Tabula_Muris,Leukocyte Lung CL:0000738,prerank,0.6541384756504008,2.5251240474471626,0.0,0.0,0.0,37_64,37/64,15.71%,MMP9;IL1R2;SLPI;HP;S100A8;CXCR2;HK3;CLEC4E;NCF1;FGR;FOXD4;C5AR1;TYROBP;RETN;LILRB3;IL1RN;CD300A;S100A9;IFITM1;CSF3R;FCER1G;ASPRV1;SELL;FPR1;ALOX5AP;SLC16A3;PRAM1;TREM1;ADAM8;CCR1;FPR2;MXD1;NLRP12;LILRA6;IL1B;PYGL;DHRS9,MMP9;IL1R2;SLPI;HP;S100A8;CXCR2;HK3;CLEC4E;NCF1;FGR;FOXD4;C5AR1;TYROBP;RETN;LILRB3;IL1RN;CD300A;S100A9;IFITM1;CSF3R;FCER1G;ASPRV1;SELL;FPR1;ALOX5AP;SLC16A3;PRAM1;TREM1;ADAM8;CCR1;FPR2;MXD1;NLRP12;LILRA6;IL1B;PYGL;DHRS9;ARG2;LST1;OSM;SLC7A11;CXCL2;RDH12;STK17B;CLEC7A;TRPM2;CD101;LILRB4;SFXN5;PILRA;BST1;TNFAIP2;CSF2RB;NLRP3;ALOX5;LMNB1;SLC40A1;CD300LF;PLA2G7;PADI4;GDA;PGLYRP1;SLC32A1;HDC,"[9, 33, 42, 85, 157, 169, 202, 243, 306, 382, 415, 497, 656, 672, 780, 793, 812, 820, 842, 848, 857, 924, 928, 1004, 1045, 1200, 1368, 1425, 1742, 1907, 2137, 2544, 2620, 2643, 2654, 2745, 2751, 3411, 3419, 3455, 3745, 3816, 3892, 3996, 4462, 4547, 5107, 5483, 5832, 6088, 6926, 7305, 7897, 10212, 10750, 11024, 11228, 11980, 12277, 12566, 15536, 16414, 17129, 17330]",Tabula_Muris__Leukocyte Lung CL:0000738
Tabula_Muris,Leukocyte Heart CL:0000738,prerank,0.7195922658244286,2.8008222602346233,0.0,0.0,0.0,48_76,48/76,13.83%,SLC11A1;FCGR2B;DOK2;NCF1;LILRA5;SNX20;C3AR1;NCF4;CD37;MYO1F;C5AR1;ITGB2;FERMT3;F13A1;TYROBP;LRRC25;SLA;LILRB3;CD300A;CD163;NFAM1;CD86;CD52;FCER1G;FOLR2;LCP1;LAPTM5;CSF1R;ITGAM;ALOX5AP;TBXAS1;CD14;LY86;RAC2;IL10RA;CYTH4;PLD4;HCK;TNFAIP8L2;CD84;PTPN6;MS4A7;VAV1;MSR1;CD53;CLEC12A;CCR5;PTPRC,SLC11A1;FCGR2B;DOK2;NCF1;LILRA5;SNX20;C3AR1;NCF4;CD37;MYO1F;C5AR1;ITGB2;FERMT3;F13A1;TYROBP;LRRC25;SLA;LILRB3;CD300A;CD163;NFAM1;CD86;CD52;FCER1G;FOLR2;LCP1;LAPTM5;CSF1R;ITGAM;ALOX5AP;TBXAS1;CD14;LY86;RAC2;IL10RA;CYTH4;PLD4;HCK;TNFAIP8L2;CD84;PTPN6;MS4A7;VAV1;MSR1;CD53;CLEC12A;CCR5;PTPRC;CD48;RGS1;NCF2;LST1;NCKAP1L;ARHGAP30;CD68;CTSC;MRC1;CLEC7A;TIMD4;IGSF6;LILRB4;CYBB;SLAMF9;GPR65;PILRA;AIF1;CFP;CORO1A;PF4;ALOX5;CD72;MPEG1;LPXN;EPSTI1;PTPRO;PRKCB,"[132, 180, 247, 306, 324, 326, 349, 392, 436, 480, 497, 507, 568, 631, 656, 705, 734, 780, 812, 818, 826, 827, 830, 857, 862, 901, 919, 973, 1038, 1045, 1085, 1238, 1509, 1635, 1728, 1747, 1767, 1914, 1945, 1992, 2040, 2085, 2128, 2162, 2172, 2333, 2393, 2422, 2604, 2808, 3164, 3419, 3466, 3731, 3896, 4088, 4351, 4462, 4695, 5466, 5483, 5847, 5908, 6067, 6088, 6152, 6854, 8030, 8298, 10750, 10987, 12924, 13923, 14518, 14674, 15245]",Tabula_Muris__Leukocyte Heart CL:0000738
Tabula_Muris,Mesenchymal Cell Bladder CL:0008019,prerank,0.5577656445941958,2.2313337364561576,0.0,0.0,0.0,47_91,47/91,18.95%,SERPINH1;NUPR1;PCOLCE;FBLN1;ADAMTS2;PRELP;EMP3;BMP4;NID1;RCN3;PODN;FCGRT;LGALS9;PLAC8;IFITM3;GADD45G;FKBP10;IGFBP6;PLTP;AEBP1;RHOJ;DCN;VIM;COL6A2;PPIC;AXL;RHOC;CRISPLD2;COL6A1;FXYD1;COL1A2;CTSK;SERPING1;BGN;RARRES2;CD248;ALDH2;EMILIN1;MFAP2;NBL1;LGALS1;C1S;COL1A1;VCAN;CD302;LOXL1;FSTL1,SERPINH1;NUPR1;PCOLCE;FBLN1;ADAMTS2;PRELP;EMP3;BMP4;NID1;RCN3;PODN;FCGRT;LGALS9;PLAC8;IFITM3;GADD45G;FKBP10;IGFBP6;PLTP;AEBP1;RHOJ;DCN;VIM;COL6A2;PPIC;AXL;RHOC;CRISPLD2;COL6A1;FXYD1;COL1A2;CTSK;SERPING1;BGN;RARRES2;CD248;ALDH2;EMILIN1;MFAP2;NBL1;LGALS1;C1S;COL1A1;VCAN;CD302;LOXL1;FSTL1;LOXL2;COL5A1;CPXM1;COL16A1;KDELR3;ECM1;ITIH5;OLFML3;CYGB;LSP1;DKK3;SERPINF1;CALD1;HTRA1;FBLN5;AKAP12;CALCRL;NKAIN4;LAMA2;C1QTNF1;MGP;FKBP7;TIMP2;SPARC;WNT2;DPYSL2;MXRA8;PDGFRA;FHL1;COLEC12;COL5A2;HSD11B1;FN1;THBS2;ADAM23;MMP2;PMP22;RBP1;COL3A1;DDR2;FBN1;COL12A1;TUBA1A;PTGIS,"[5, 54, 200, 317, 321, 327, 387, 483, 637, 680, 738, 743, 764, 834, 970, 1011, 1092, 1105, 1178, 1181, 1323, 1395, 1399, 1579, 1650, 1696, 1711, 1826, 2004, 2075, 2167, 2173, 2181, 2213, 2279, 2282, 2440, 2457, 2525, 2587, 2686, 3007, 3083, 3195, 3230, 3256, 3319, 3448, 3633, 3825, 4095, 4204, 5343, 5435, 5607, 5857, 5942, 6064, 6107, 6176, 6398, 6410, 6752, 6831, 7518, 8134, 8242, 9257, 9663, 9874, 9882, 10192, 10305, 10590, 10756, 11954, 11989, 12252, 12344, 12440, 13590, 14023, 14153, 14599, 15591, 15835, 15872, 16399, 16720, 16804, 17094]",Tabula_Muris__Mesenchymal Cell Bladder CL:0008019
Tabula_Muris,Myeloid Cell Spleen CL:0000763,prerank,0.6437852701547121,2.439271653630706,0.0,0.0,0.0,31_60,31/60,17.26%,MMP9;ANPEP;SLC11A1;TLR5;CLEC4E;S100A4;FGR;CD300LB;GPR35;C5AR1;TYROBP;LILRB3;MEFV;CD300A;IFITM1;CSF3R;FCER1G;FPR1;APOC2;APOBR;ALOX5AP;PRAM1;SLAMF8;ADAM8;EMILIN2;FPR2;IL1B;PYGL;DHRS9;ITGAX;ZBTB46,MMP9;ANPEP;SLC11A1;TLR5;CLEC4E;S100A4;FGR;CD300LB;GPR35;C5AR1;TYROBP;LILRB3;MEFV;CD300A;IFITM1;CSF3R;FCER1G;FPR1;APOC2;APOBR;ALOX5AP;PRAM1;SLAMF8;ADAM8;EMILIN2;FPR2;IL1B;PYGL;DHRS9;ITGAX;ZBTB46;HAVCR2;LST1;CLEC7A;SIRPA;TBC1D8;CD300E;IGSF6;LILRB4;TCF7L2;PILRA;DOCK5;TNFAIP2;CADM3;CSF2RB;HFE;ACE;ATP1A3;NAV1;NLRP3;GPR141;BATF3;GSR;TGFBI;MPEG1;ADAM23;PTPRO;GDA;PRR5L;TBC1D9,"[9, 112, 132, 160, 243, 245, 382, 419, 479, 497, 656, 780, 807, 812, 842, 848, 857, 1004, 1014, 1023, 1045, 1368, 1625, 1742, 1794, 2137, 2654, 2745, 2751, 2994, 3022, 3229, 3419, 4462, 4625, 5217, 5238, 5466, 5483, 5609, 6088, 6967, 7305, 7400, 7897, 8434, 9399, 9477, 10098, 10212, 11243, 11556, 11586, 11627, 12924, 14023, 14674, 15536, 15878, 15929]",Tabula_Muris__Myeloid Cell Spleen CL:0000763
Tabula_Muris,Monocyte Lung CL:0000576,prerank,0.6919122379507764,2.598951597882649,0.0,0.0,0.0,36_63,36/63,13.32%,CD177;SLC11A1;FCGR2B;TLR8;S100A4;FGR;NCF4;MYO1F;F13A1;TYROBP;LRRC25;CCR2;SLA;LILRB3;SYK;CD300A;F10;NFAM1;PLAC8;CSF3R;FCER1G;CSF1R;APOC2;ITGAM;ALOX5AP;DOK3;CD14;IRF5;LY86;IL10RA;PLD4;EMILIN2;HCK;MSR1;PLBD1;CLEC12A,CD177;SLC11A1;FCGR2B;TLR8;S100A4;FGR;NCF4;MYO1F;F13A1;TYROBP;LRRC25;CCR2;SLA;LILRB3;SYK;CD300A;F10;NFAM1;PLAC8;CSF3R;FCER1G;CSF1R;APOC2;ITGAM;ALOX5AP;DOK3;CD14;IRF5;LY86;IL10RA;PLD4;EMILIN2;HCK;MSR1;PLBD1;CLEC12A;LILRA6;PSTPIP2;NCF2;LCP2;LST1;OSM;CD68;RASSF4;CLEC7A;ADAP1;IGSF6;LILRB4;POU2F2;FMNL1;CYBB;CFP;MNDA;ATP1A3;GPR141;CAMK1D;ARL5C;PLA2G7;TNFRSF21;MPEG1;EPSTI1;PTPRO;EVI2A,"[18, 132, 180, 203, 245, 382, 392, 480, 631, 656, 705, 711, 734, 780, 810, 812, 817, 826, 834, 848, 857, 973, 1014, 1038, 1045, 1201, 1238, 1337, 1509, 1728, 1767, 1794, 1914, 2162, 2305, 2333, 2643, 3047, 3164, 3280, 3419, 3455, 3896, 4046, 4462, 5243, 5466, 5483, 5761, 5813, 5847, 6854, 9168, 9477, 11243, 11313, 11527, 12277, 12698, 12924, 14518, 14674, 15461]",Tabula_Muris__Monocyte Lung CL:0000576
Tabula_Muris,Fenestrated Cell Kidney CL:0000666,prerank,0.5583956326608823,2.2625805997256863,0.0,0.0,0.0,36_86,36/86,14.54%,HSPB1;FAM167B;SEMA3F;SLC43A3;RAMP3;ICAM2;TM4SF1;FLT4;EGFL7;ESAM;FLT1;MMRN2;PODXL;ITPRIP;CD93;ECE1;KANK3;PTPRU;TBXA2R;CD34;GIMAP5;VAMP5;BTNL9;SOX7;SLC9A3R2;IGFBP5;RASIP1;GNG11;S1PR1;NOTCH1;GIMAP6;TIE1;CDH5;GIMAP4;TMEM204;THBD,HSPB1;FAM167B;SEMA3F;SLC43A3;RAMP3;ICAM2;TM4SF1;FLT4;EGFL7;ESAM;FLT1;MMRN2;PODXL;ITPRIP;CD93;ECE1;KANK3;PTPRU;TBXA2R;CD34;GIMAP5;VAMP5;BTNL9;SOX7;SLC9A3R2;IGFBP5;RASIP1;GNG11;S1PR1;NOTCH1;GIMAP6;TIE1;CDH5;GIMAP4;TMEM204;THBD;MYCT1;ARHGEF15;ROBO4;NPR1;CHST2;GPIHBP1;ESM1;EDNRB;PDE2A;USHBP1;ENG;DLC1;PLXND1;HSPG2;IRX3;EMCN;NRP1;EHD4;RAMP2;CALCRL;IGFBP3;ELK3;F2R;TEK;EPAS1;PLVAP;RNF144A;CLEC14A;TCF4;SOX18;HEG1;FABP4;EHD3;PTPRG;PTPRB;KDR;COL4A1;CDC42EP1;LTBP1;SNRK;RAPGEF4;PBX1;TMEM88;CD200;SH3BP5;TNFSF10;RSAD2;CD300LG;IFI44;CD38,"[4, 21, 119, 429, 536, 640, 694, 701, 1001, 1058, 1094, 1118, 1161, 1258, 1292, 1469, 1490, 1491, 1535, 1566, 1583, 1610, 1638, 1730, 1788, 1810, 1821, 1851, 1972, 2094, 2107, 2202, 2269, 2363, 2538, 2546, 2937, 3171, 3584, 3752, 4050, 4383, 4469, 4666, 4966, 5039, 5298, 5501, 5650, 5784, 6061, 6200, 6343, 6731, 6745, 6831, 7422, 7544, 7732, 7870, 7874, 8694, 8720, 8843, 9193, 9343, 9865, 9876, 10339, 10354, 10822, 11145, 11830, 11972, 12051, 12792, 13148, 13428, 13429, 14551, 15111, 15232, 15853, 16319, 16698, 17344]",Tabula_Muris__Fenestrated Cell Kidney CL:0000666
Tabula_Muris,Neutrophil Fat CL:0000775,prerank,0.7035545255621003,2.6469680485187146,0.0,0.0,0.0,32_59,32/59,13.32%,HP;SLC11A1;CLEC4E;S100A4;FGR;NAPSA;GPR35;MYO1F;ITGB2;TYROBP;LRRC25;LILRB3;MEFV;CD300A;F10;NFAM1;CSF3R;FCER1G;CSF1R;APOC2;ITGAM;ALOX5AP;SLC16A3;DOK3;TREM1;TLR7;ITGAL;PLD4;HCK;MSR1;PLBD1;CLEC12A,HP;SLC11A1;CLEC4E;S100A4;FGR;NAPSA;GPR35;MYO1F;ITGB2;TYROBP;LRRC25;LILRB3;MEFV;CD300A;F10;NFAM1;CSF3R;FCER1G;CSF1R;APOC2;ITGAM;ALOX5AP;SLC16A3;DOK3;TREM1;TLR7;ITGAL;PLD4;HCK;MSR1;PLBD1;CLEC12A;IL1B;NCF2;LCP2;LST1;CD68;RASSF4;CLEC7A;CD300E;ADAP1;IGSF6;LILRB4;POU2F2;CYBB;RNF149;PILRA;SLC2A6;BST1;CX3CR1;CD244;ATP1A3;GPR141;ARHGEF37;CD300LF;TPD52;MPEG1;SEMA4D;PTPRO,"[85, 132, 243, 245, 382, 442, 479, 480, 507, 656, 705, 780, 807, 812, 817, 826, 848, 857, 973, 1014, 1038, 1045, 1200, 1201, 1425, 1546, 1702, 1767, 1914, 2162, 2305, 2333, 2654, 3164, 3280, 3419, 3896, 4046, 4462, 5238, 5243, 5466, 5483, 5761, 5847, 6038, 6088, 6672, 6926, 7438, 7682, 9477, 11243, 11364, 11980, 12197, 12924, 12957, 14674]",Tabula_Muris__Neutrophil Fat CL:0000775
Tabula_Muris,Leukocyte Kidney CL:0000738,prerank,0.6368578425946558,2.425429352310737,0.0,0.0,0.0,33_64,33/64,17.27%,SLC11A1;FCGR2B;HCLS1;LILRA5;C3AR1;TLR2;C5AR1;TYROBP;LRRC25;LILRB3;CD86;CD52;RUNX1;FCER1G;LCP1;SLC15A3;ALOX5AP;DOK3;CD14;IRF5;LY86;AXL;IL10RA;CYTH4;HCK;MS4A7;PLBD1;PTPRC;PLEK;IL1B;PIK3AP1;ITGAX;ARRB2,SLC11A1;FCGR2B;HCLS1;LILRA5;C3AR1;TLR2;C5AR1;TYROBP;LRRC25;LILRB3;CD86;CD52;RUNX1;FCER1G;LCP1;SLC15A3;ALOX5AP;DOK3;CD14;IRF5;LY86;AXL;IL10RA;CYTH4;HCK;MS4A7;PLBD1;PTPRC;PLEK;IL1B;PIK3AP1;ITGAX;ARRB2;LST1;NCKAP1L;ARHGAP30;STK17B;MRC1;CLEC7A;P2RY6;LILRB4;RGS10;POU2F2;CYBB;SLAMF9;GPR65;PILRA;AIF1;ARHGAP22;CCL3;PID1;NLRP3;BASP1;CORO2A;CCL4;FNBP1;HPGD;CD72;CAMK1D;GLIPR1;PTCHD1;MPEG1;SLAMF7;PRKCB,"[132, 180, 219, 324, 349, 493, 497, 656, 705, 780, 827, 830, 845, 857, 901, 976, 1045, 1201, 1238, 1337, 1509, 1696, 1728, 1747, 1914, 2085, 2305, 2422, 2474, 2654, 2944, 2994, 3025, 3419, 3466, 3731, 3996, 4351, 4462, 4891, 5483, 5578, 5761, 5847, 5908, 6067, 6088, 6152, 6729, 7409, 8655, 10212, 10595, 10788, 10797, 10852, 10856, 10987, 11313, 11881, 12458, 12924, 14391, 15245]",Tabula_Muris__Leukocyte Kidney CL:0000738
Tabula_Muris,B Cell Muscle CL:0000236,prerank,0.5449901698939152,2.1383248366785237,0.0,0.0,0.0,34_73,34/73,16.81%,HCLS1;IL2RG;NCF4;CD37;NAPSA;SPIB;SASH3;HVCN1;SYK;CD86;CD52;PLAC8;INPP5D;LCP1;CD74;LAPTM5;SELL;BTLA;GPR171;DOK3;FCRLA;GMFG;IL10RA;BTK;PTPN6;CD53;CD79B;NFKBID;IL21R;PTPRC;CD79A;ARHGDIB;GPR132;PIK3AP1,HCLS1;IL2RG;NCF4;CD37;NAPSA;SPIB;SASH3;HVCN1;SYK;CD86;CD52;PLAC8;INPP5D;LCP1;CD74;LAPTM5;SELL;BTLA;GPR171;DOK3;FCRLA;GMFG;IL10RA;BTK;PTPN6;CD53;CD79B;NFKBID;IL21R;PTPRC;CD79A;ARHGDIB;GPR132;PIK3AP1;CD22;PTPRCAP;ARHGAP30;STK17B;CYTIP;LTB;B4GALNT1;BANK1;LYN;PTK2B;CD83;ACAP1;HAAO;PAX5;STAP1;CORO1A;PLCG2;SP110;DUSP2;CD72;SATB1;PPP1R16B;CD19;B3GNT7;TNFRSF13C;CCR7;IKZF3;FAM107B;STAT4;LY6D;MEF2C;CCR6;PRKCB;MS4A1;RALGPS2;CR2;POU2AF1;BLK;SP140,"[219, 264, 392, 436, 442, 547, 758, 785, 810, 827, 830, 834, 868, 901, 908, 919, 928, 979, 1142, 1201, 1514, 1575, 1728, 1801, 2040, 2172, 2306, 2345, 2346, 2422, 2657, 2742, 2791, 2944, 3309, 3474, 3731, 3996, 4243, 6057, 6082, 6502, 6593, 6612, 6688, 6912, 7149, 7588, 7686, 8030, 8064, 8508, 8683, 10987, 11159, 11350, 11727, 12510, 12512, 12666, 12755, 13132, 13432, 13807, 14202, 14555, 15245, 15249, 15684, 15881, 16081, 16162, 16684]",Tabula_Muris__B Cell Muscle CL:0000236
Tabula_Muris,Leukocyte Pancreas CL:0000738,prerank,0.7042561710483096,2.6610054610225036,0.0,0.0,0.0,46_67,46/67,18.73%,SLC11A1;FCGR2B;GPSM3;HCLS1;NCF1;LAT2;RUNX3;NCF4;MYO1F;PPP1R18;IKZF1;LRRC25;CCR2;SLA;LILRB3;SYK;CD300A;NFAM1;CD86;CD52;RUNX1;INPP5D;SLC15A3;WAS;ARHGAP15;IRF5;LY86;IL10RA;CYTH4;PLD4;DOCK2;HCK;TNFAIP8L2;CD84;MS4A7;VAV1;PMAIP1;APBB1IP;PTPRC;CD48;IL1B;PLCB2;RGS1;ITGAX;NCF2;LCP2,SLC11A1;FCGR2B;GPSM3;HCLS1;NCF1;LAT2;RUNX3;NCF4;MYO1F;PPP1R18;IKZF1;LRRC25;CCR2;SLA;LILRB3;SYK;CD300A;NFAM1;CD86;CD52;RUNX1;INPP5D;SLC15A3;WAS;ARHGAP15;IRF5;LY86;IL10RA;CYTH4;PLD4;DOCK2;HCK;TNFAIP8L2;CD84;MS4A7;VAV1;PMAIP1;APBB1IP;PTPRC;CD48;IL1B;PLCB2;RGS1;ITGAX;NCF2;LCP2;NCKAP1L;ARHGAP30;CLEC7A;ARHGAP25;LILRB4;RGS10;POU2F2;CYBB;SLAMF9;GPR65;AIF1;CCL3;CSF2RB;CCL4;AMZ1;PLA2G7;MPEG1;PTPN22;LPXN;SLAMF7;PTPRO,"[132, 180, 218, 219, 306, 368, 371, 392, 480, 538, 693, 705, 711, 734, 780, 810, 812, 826, 827, 830, 845, 868, 976, 985, 1319, 1337, 1509, 1728, 1747, 1767, 1779, 1914, 1945, 1992, 2085, 2128, 2205, 2337, 2422, 2604, 2654, 2668, 2808, 2994, 3164, 3280, 3466, 3731, 4462, 5124, 5483, 5578, 5761, 5847, 5908, 6067, 6152, 7409, 7897, 10797, 11310, 12277, 12924, 13052, 13923, 14391, 14674]",Tabula_Muris__Leukocyte Pancreas CL:0000738
Tabula_Muris,Neuron Brain Non-Microglia CL:0000540,prerank,-0.5142513257007714,-2.0890219206117684,0.0,0.0,0.0,40_88,40/88,21.54%,KCNH1;VGF;GPR88;CAMK4;GPRIN3;CALN1;RPH3A;SCG2;NRXN3;RASGRF1;GPR158;ANO3;HS6ST2;STXBP5L;UNC80;CHGB;SVOP;CNTNAP2;TRANK1;RAB3C;DIRAS2;SCN2B;ATP2B2;KCNQ2;GABRA1;GABRG2;DCLK3;NSG2;ATP6V1G2;MYT1L;SLC6A17;SNAP25;MCTP1;CLVS1;INA;SYT1;NAPB;CACNG2;ELMOD1;FGF14,GOLGA7B;RPRML;CACNA1I;GRIN1;RASGEF1A;CAMK2B;WIPF3;ACTL6B;CALY;LIN7B;EEF1A2;CELF4;SNCB;PHYHIP;RBFOX3;CPNE5;RIT2;KCNJ4;CAMKV;TMEM130;SYNGR3;DNM1;ENO2;RAB15;ATP1A3;TCEAL6;BEX1;SULT4A1;GABRD;GRM1;FABP3;BSN;CPLX1;CNKSR2;SYT5;TCEAL5;NEFM;NTNG1;KCNA4;CACNG3;NRSN2;SLC12A5;NAP1L2;SH2D5;DLGAP2;SYT4;HPCA;CACNA1E;FGF14;ELMOD1;CACNG2;NAPB;SYT1;INA;CLVS1;MCTP1;SNAP25;SLC6A17;MYT1L;ATP6V1G2;NSG2;DCLK3;GABRG2;GABRA1;KCNQ2;ATP2B2;SCN2B;DIRAS2;RAB3C;TRANK1;CNTNAP2;SVOP;CHGB;UNC80;STXBP5L;HS6ST2;ANO3;GPR158;RASGRF1;NRXN3;SCG2;RPH3A;CALN1;GPRIN3;CAMK4;GPR88;VGF;KCNH1,"[515, 2766, 2936, 3850, 3900, 4042, 4158, 4371, 4698, 5029, 5154, 5992, 6435, 6439, 6681, 6834, 7309, 7869, 7945, 8166, 8268, 8452, 8733, 9129, 9477, 9570, 9917, 10065, 10500, 10982, 11064, 11245, 11518, 11521, 11656, 11661, 11715, 11805, 11956, 12052, 12120, 12628, 12741, 12768, 12809, 13102, 13291, 13343, 13745, 13783, 14012, 14015, 14019, 14056, 14080, 14372, 14657, 14695, 14736, 14984, 15004, 15099, 15134, 15279, 15369, 15423, 15445, 15447, 15559, 15648, 15696, 15884, 16056, 16255, 16282, 16448, 16571, 16622, 16709, 16837, 16902, 16951, 17077, 17148, 17180, 17200, 17239, 17396]",Tabula_Muris__Neuron Brain Non-Microglia CL:0000540
Tabula_Muris,Granulocyte Marrow CL:0000094,prerank,0.6491641945330875,2.5556013953632615,0.0,0.0,0.0,42_68,42/68,15.71%,MMP9;IL1R2;SLPI;HP;S100A8;CXCR2;LRG1;CLEC4E;FGR;CD300LB;CEBPB;C5AR1;RASGRP4;TYROBP;LCN2;LILRB3;IL1RN;S100A9;CSF3R;FCER1G;ASPRV1;SLC2A3;SLC15A3;CD33;FPR1;ITGAM;S100A11;SLC16A3;MMP25;S100A6;FOSL2;PRAM1;TREM1;ADAM8;CCR1;FPR2;MXD1;NLRP12;LILRA6;IL1B;PYGL;DHRS9,MMP9;IL1R2;SLPI;HP;S100A8;CXCR2;LRG1;CLEC4E;FGR;CD300LB;CEBPB;C5AR1;RASGRP4;TYROBP;LCN2;LILRB3;IL1RN;S100A9;CSF3R;FCER1G;ASPRV1;SLC2A3;SLC15A3;CD33;FPR1;ITGAM;S100A11;SLC16A3;MMP25;S100A6;FOSL2;PRAM1;TREM1;ADAM8;CCR1;FPR2;MXD1;NLRP12;LILRA6;IL1B;PYGL;DHRS9;DUSP1;PROK2;ARG2;OSM;SLC7A11;CXCL2;ACTN1;TRPM2;CHI3L1;LILRB4;LGALS3;SFXN5;GRINA;PILRA;BST1;SCRG1;ALOX5;GSR;CD300LF;PLA2G7;GDA;TMEM154;PGLYRP1;BMX;ANKRD33B;HDC,"[9, 33, 42, 85, 157, 169, 197, 243, 382, 419, 464, 497, 576, 656, 756, 780, 793, 820, 848, 857, 924, 935, 976, 998, 1004, 1038, 1102, 1200, 1297, 1299, 1355, 1368, 1425, 1742, 1907, 2137, 2544, 2620, 2643, 2654, 2745, 2751, 2914, 3224, 3411, 3455, 3745, 3816, 4155, 4547, 4969, 5483, 5562, 5832, 5917, 6088, 6926, 8730, 10750, 11586, 11980, 12277, 15536, 16390, 16414, 16441, 17211, 17330]",Tabula_Muris__Granulocyte Marrow CL:0000094
Tabula_Muris,Dendritic Cell Lung CL:0000451,prerank,0.6445410216209039,2.4692897200545905,0.0,0.0,0.0,34_63,34/63,14.13%,CXCR4;SLC11A1;HCLS1;CLEC4E;FGR;MYO1F;C5AR1;ITGB2;TNFRSF1B;LAIR1;TYROBP;RNASE6;IKZF1;CD300A;NFAM1;FCER1G;CSF1R;APOC2;ITGAM;ALOX5AP;SLC16A3;DOK3;IRF5;SPN;TLR7;ITGAL;IL10RA;PLD4;EMILIN2;ENO3;HCK;APBB1IP;PTPRC;PLEK,CXCR4;SLC11A1;HCLS1;CLEC4E;FGR;MYO1F;C5AR1;ITGB2;TNFRSF1B;LAIR1;TYROBP;RNASE6;IKZF1;CD300A;NFAM1;FCER1G;CSF1R;APOC2;ITGAM;ALOX5AP;SLC16A3;DOK3;IRF5;SPN;TLR7;ITGAL;IL10RA;PLD4;EMILIN2;ENO3;HCK;APBB1IP;PTPRC;PLEK;NCF2;LCP2;LST1;ARHGEF10L;CD68;SAMSN1;CYTIP;MYO1G;CD300E;IL17RA;IGSF6;POU2F2;FMNL1;CYBB;PILRA;CX3CR1;CD244;STAP1;RAP1GAP2;ATP1A3;GPR141;GSR;STK10;SEMA4D;S1PR5;TGM3;PGLYRP1;SMPDL3B;ITGA4,"[50, 132, 219, 243, 382, 480, 497, 507, 525, 610, 656, 662, 693, 812, 826, 857, 973, 1014, 1038, 1045, 1200, 1201, 1337, 1473, 1546, 1702, 1728, 1767, 1794, 1875, 1914, 2337, 2422, 2474, 3164, 3280, 3419, 3866, 3896, 4147, 4243, 4433, 5238, 5292, 5466, 5761, 5813, 5847, 6088, 7438, 7682, 7686, 8868, 9477, 11243, 11586, 12671, 12957, 13904, 16107, 16414, 16450, 16938]",Tabula_Muris__Dendritic Cell Lung CL:0000451
Tabula_Muris,Granulocyte Fat CL:0000094,prerank,0.6921755477577148,2.6719598828437876,0.0,0.0,0.0,40_68,40/68,13.06%,MMP9;FXYD2;SLC11A1;CXCR2;FCGR2B;C1QA;TLR8;C1QC;C3AR1;STAB1;C1QB;CD300LB;RBM47;LYVE1;C5AR1;CLEC10A;F13A1;TYROBP;LRRC25;LILRB3;CD300A;CD163;CSF3R;FCER1G;FOLR2;LCP1;CSF1R;CD33;ITGAM;ALOX5AP;TBXAS1;CD14;TLR7;CYTH4;LTC4S;CCR1;MS4A7;NINJ1;MSR1;SIGLEC1,MMP9;FXYD2;SLC11A1;CXCR2;FCGR2B;C1QA;TLR8;C1QC;C3AR1;STAB1;C1QB;CD300LB;RBM47;LYVE1;C5AR1;CLEC10A;F13A1;TYROBP;LRRC25;LILRB3;CD300A;CD163;CSF3R;FCER1G;FOLR2;LCP1;CSF1R;CD33;ITGAM;ALOX5AP;TBXAS1;CD14;TLR7;CYTH4;LTC4S;CCR1;MS4A7;NINJ1;MSR1;SIGLEC1;PLEK;NPL;AOAH;ARRB2;NCF2;LST1;CXCL2;CD68;MRC1;CLEC7A;P2RY6;IGSF6;LILRB4;ADAP2;AIF1;CFP;DCLRE1C;GPRC5C;PF4;ALOX5;TPD52;PLA2G7;SUSD1;SERPINB8;TMEM37;MARCKSL1;PRUNE2;PLA2G2D,"[9, 20, 132, 169, 180, 196, 203, 280, 349, 357, 399, 419, 469, 485, 497, 585, 631, 656, 705, 780, 812, 818, 848, 857, 862, 901, 973, 998, 1038, 1045, 1085, 1238, 1546, 1747, 1827, 1907, 2085, 2130, 2162, 2287, 2474, 2943, 3002, 3025, 3164, 3419, 3816, 3896, 4351, 4462, 4891, 5466, 5483, 6130, 6152, 6854, 7117, 7385, 8298, 10750, 12197, 12277, 14515, 14734, 15439, 15700, 16476, 17017]",Tabula_Muris__Granulocyte Fat CL:0000094
