TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
WikiPathways_2024_Human,Apoptosis Modulation And Signaling WP1772,prerank,0.6177111514781997,2.4593201852982514,0.0,0.0,0.0,48_83,48/83,23.40%,HSPA1A;BAG3;TNFRSF10D;IL1R2;CASP7;TNFRSF10A;CASP4;NFKBIA;TNFRSF1A;TNFRSF1B;CASP1;TNFRSF10B;TNFRSF10C;BCL2A1;FOS;BIRC3;TNFRSF25;MCL1;BID;BMF;BCL2;CASP6;BIRC7;PMAIP1;BCL2L10;DAXX;MAPK3;JUN;BIRC5;CDKN2A;AIFM2;BCL2L1;BAX;BOK;IKBKB;BAD;IRAK1;MYD88;CASP10;IL1R1;FADD;PRKD1;BBC3;BIK;TRADD;NFKB1;BCL2L11;RIPK1,HSPA1A;BAG3;TNFRSF10D;IL1R2;CASP7;TNFRSF10A;CASP4;NFKBIA;TNFRSF1A;TNFRSF1B;CASP1;TNFRSF10B;TNFRSF10C;BCL2A1;FOS;BIRC3;TNFRSF25;MCL1;BID;BMF;BCL2;CASP6;BIRC7;PMAIP1;BCL2L10;DAXX;MAPK3;JUN;BIRC5;CDKN2A;AIFM2;BCL2L1;BAX;BOK;IKBKB;BAD;IRAK1;MYD88;CASP10;IL1R1;FADD;PRKD1;BBC3;BIK;TRADD;NFKB1;BCL2L11;RIPK1;MAP3K5;PEA15;DFFB;PTRH2;CASP2;CAPNS1;BIRC2;CFLAR;CASP9;TOLLIP;HTRA2;DFFA;TRAF3;BAK1;TP53;CRADD;ENDOG;XIAP;MADD;FAS;AIFM1;PTPN13;CASP8;TRAF6;APAF1;BNIP3;CASP3;BCL2L2;CYCS;NAIP;HRK;MAPK8;DIABLO;TNFSF10;BLK,"[2, 15, 26, 33, 263, 363, 394, 438, 465, 525, 580, 900, 1007, 1133, 1219, 1351, 1360, 1560, 1667, 1929, 1935, 2147, 2182, 2205, 2292, 2350, 2396, 2405, 2532, 2543, 2838, 2851, 2888, 2972, 3163, 3228, 3238, 3306, 3353, 3361, 3465, 3703, 3828, 3914, 3997, 4057, 4089, 4099, 4683, 5340, 5586, 6012, 6168, 6549, 6635, 6908, 6927, 7314, 7337, 7685, 7749, 8374, 8757, 9024, 9035, 9351, 10289, 10342, 10367, 10692, 11055, 11426, 11485, 11691, 11745, 12028, 12163, 12297, 12663, 13764, 14118, 15232, 16162]",WikiPathways_2024_Human__Apoptosis Modulation And Signaling WP1772
WikiPathways_2024_Human,Complement And Coagulation Cascades WP558,prerank,0.6608331991247605,2.412189712964866,0.0,0.0,0.0,31_55,31/55,14.89%,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G;C1S;F12;PLAU;C9;PLAT;F2;CD55;F2R;PROS1;BDKRB1;KNG1;LMAN1;PLG;CPB2;F5;F3;MASP1;F8;CD46;CLTC;MASP2;CR2;C6;F7,"[121, 164, 178, 196, 280, 295, 340, 349, 367, 399, 459, 497, 535, 554, 742, 751, 782, 817, 967, 968, 1107, 1145, 1505, 1909, 1921, 1966, 1969, 2181, 2413, 2546, 2608, 3007, 3527, 3981, 4373, 5388, 7278, 7327, 7732, 8219, 9088, 9160, 9969, 11564, 11762, 12241, 13150, 13721, 13730, 14057, 14540, 15416, 15881, 15917, 16191]",WikiPathways_2024_Human__Complement And Coagulation Cascades WP558
WikiPathways_2024_Human,Microglia Pathogen Phagocytosis Pathway WP3937,prerank,0.7551169364986521,2.600939739470964,0.0,0.0,0.0,25_39,25/39,13.57%,LAT;C1QA;C1QC;NCF1;NCF4;C1QB;CYBA;ITGB2;PIK3R2;TYROBP;FCGR1A;SYK;FCER1G;ARPC1B;ITGAM;TREM2;RAC3;TREM1;VAV3;RAC2;PIK3CD;HCK;PTPN6;VAV1;SIGLEC7,LAT;C1QA;C1QC;NCF1;NCF4;C1QB;CYBA;ITGB2;PIK3R2;TYROBP;FCGR1A;SYK;FCER1G;ARPC1B;ITGAM;TREM2;RAC3;TREM1;VAV3;RAC2;PIK3CD;HCK;PTPN6;VAV1;SIGLEC7;NCF2;NCKAP1L;PIK3CG;CYBB;LYN;PIK3R3;PIK3CA;PLCG2;VAV2;RAC1;PIK3CB;PIK3R1;PIK3C2A;PIK3C3,"[152, 196, 280, 306, 392, 399, 470, 507, 526, 656, 808, 810, 857, 965, 1038, 1129, 1404, 1425, 1461, 1635, 1757, 1914, 2040, 2128, 2377, 3164, 3466, 5764, 5847, 6593, 6685, 7246, 8064, 8155, 9784, 12207, 13367, 14250, 14671]",WikiPathways_2024_Human__Microglia Pathogen Phagocytosis Pathway WP3937
WikiPathways_2024_Human,Cell Interactions Of The Pancreatic Cancer Microenvironment WP5284,prerank,0.7953196818743936,2.4018960485971967,0.0,0.0,0.0,15_22,15/22,10.10%,BAG3;CXCR4;CSF1;HLA-DRB1;IFITM2;CCL2;TGFB1;CCR2;CD86;HLA-DRA;VEGFA;CSF1R;CD80;CXCL10;LAG3,BAG3;CXCR4;CSF1;HLA-DRB1;IFITM2;CCL2;TGFB1;CCR2;CD86;HLA-DRA;VEGFA;CSF1R;CD80;CXCL10;LAG3;CCR5;CCL5;NRP1;CTLA4;FAS;KDR;CXCL12,"[15, 50, 185, 558, 633, 636, 664, 711, 827, 855, 930, 973, 1256, 1647, 1769, 2393, 5546, 6343, 10060, 10342, 11145, 15960]",WikiPathways_2024_Human__Cell Interactions Of The Pancreatic Cancer Microenvironment WP5284
WikiPathways_2024_Human,Dengue 2 Interactions With Complement And Coagulation Cascades WP3896,prerank,0.6588700326789649,2.417819407366009,0.0,0.0,0.0,31_56,31/56,14.89%,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;CFB;CLU;PROC;F10;CFH;KLKB1;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;SERPING1;CR1;THBD;C8G;C1S;F12;PLAU;C9;PLAT;APOA2;F2;CD55;F2R;PROS1;BDKRB1;KNG1;LMAN1;PLG;CPB2;F5;F3;MASP1;F8;CD46;CLTC;MASP2;CR2;C6;F7,"[121, 164, 178, 196, 280, 295, 340, 349, 367, 399, 459, 497, 535, 554, 742, 751, 782, 817, 967, 968, 1107, 1145, 1505, 1909, 1921, 1966, 1969, 2181, 2413, 2546, 2608, 3007, 3527, 3981, 4373, 5388, 6445, 7278, 7327, 7732, 8219, 9088, 9160, 9969, 11564, 11762, 12241, 13150, 13721, 13730, 14057, 14540, 15416, 15881, 15917, 16191]",WikiPathways_2024_Human__Dengue 2 Interactions With Complement And Coagulation Cascades WP3896
WikiPathways_2024_Human,TYROBP Causal Network In Microglia WP3945,prerank,0.7162124566863867,2.677931604971318,0.0,0.0,0.0,39_58,39/58,18.07%,HCLS1;C1QC;IL18;RUNX3;CD37;TCIRG1;CD4;RBM47;ITGB2;TNFRSF1B;PPP1R18;C3;TYROBP;RNASE6;HLX;ELF4;SLC1A5;ITGAM;ZFP36L2;CXCL16;SLC7A7;GIMAP2;MAF;IL10RA;GAPT;LYL1;LHFPL2;CD84;CAPG;APBB1IP;PLEK;PYCARD;GPX1;BIN2;NPC2;RGS1;ITGAX;IL13RA1;NCF2,HCLS1;C1QC;IL18;RUNX3;CD37;TCIRG1;CD4;RBM47;ITGB2;TNFRSF1B;PPP1R18;C3;TYROBP;RNASE6;HLX;ELF4;SLC1A5;ITGAM;ZFP36L2;CXCL16;SLC7A7;GIMAP2;MAF;IL10RA;GAPT;LYL1;LHFPL2;CD84;CAPG;APBB1IP;PLEK;PYCARD;GPX1;BIN2;NPC2;RGS1;ITGAX;IL13RA1;NCF2;NCKAP1L;STAT5A;ABCC4;SAMSN1;RPS6KA1;TMEM106A;GAL3ST4;SPP1;CYTL1;TGFBR1;IGSF6;ADAP2;SH2B3;LOXL3;CREB3L2;KCNE3;SFT2D2;FKBP15;DPYD,"[219, 280, 366, 371, 436, 437, 463, 469, 507, 525, 538, 554, 656, 662, 799, 803, 916, 1038, 1382, 1455, 1607, 1677, 1694, 1728, 1759, 1861, 1956, 1992, 2112, 2337, 2474, 2517, 2540, 2679, 2760, 2808, 2994, 3069, 3164, 3466, 3694, 3712, 4147, 4277, 4408, 4461, 5115, 5182, 5314, 5466, 6130, 6650, 6962, 7479, 7981, 9300, 11210, 13053]",WikiPathways_2024_Human__TYROBP Causal Network In Microglia WP3945
WikiPathways_2024_Human,Cytokine Cytokine Receptor Interaction WP5473,prerank,0.5420372035857857,2.4621024889305905,0.0,0.0,0.0,80_194,80/194,14.78%,IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;BMP5;IL2RG;GDF15;TNFRSF4;LIF;TNFRSF10A;IL18;TNFRSF1A;BMP4;EPOR;CXCL11;TNFRSF1B;CCL20;IL27;IL15RA;CLCF1;CXCL1;CCL2;TGFB1;CSF3;LTBR;CXCL9;CCR2;IL6;IL1RN;CSF3R;CXCL3;TNFRSF10B;CCL26;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;BMP6;TNF;IFNL3;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;CCR1;IL18RAP;NGF;IL27RA;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;BMP7;IFNGR2;AMH;CXCL5,IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;BMP5;IL2RG;GDF15;TNFRSF4;LIF;TNFRSF10A;IL18;TNFRSF1A;BMP4;EPOR;CXCL11;TNFRSF1B;CCL20;IL27;IL15RA;CLCF1;CXCL1;CCL2;TGFB1;CSF3;LTBR;CXCL9;CCR2;IL6;IL1RN;CSF3R;CXCL3;TNFRSF10B;CCL26;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;BMP6;TNF;IFNL3;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;CCR1;IL18RAP;NGF;IL27RA;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;BMP7;IFNGR2;AMH;CXCL5;IL1RL1;IL23A;TNFSF13B;IL13RA1;IL34;BMPR1B;NGFR;GDF10;IL1R1;CXCL13;GDF11;IL17RC;TNFRSF14;IL15;CCL25;CXCL2;TNFRSF17;ANP32B;CCR9;IL11RA;TNFSF9;MSTN;LEPR;IL17D;IL20RB;IL17RA;TGFBR1;IL20RA;CCL5;IFNGR1;IL6ST;NFIC;TNFRSF19;LTB;IL10;XCL1;TNFRSF18;LIFR;BMPR1A;GDF6;CCR10;GHR;CCL3;CX3CR1;CCL4L2;IL22RA1;CSF2RB;CX3CL1;ACVR1B;RELT;GDF5;IL11;PF4;IL13;TNFSF4;BMP8B;IL4;IFNAR1;EDA2R;CCL28;IFNAR2;ACVR2A;BMPR2;CXCR6;CXCL14;FAS;IL24;BMP3;CCL4;CD70;CNTF;ACVR1;EPO;IL1RL2;IFNW1;INHBC;GDF9;TNFRSF11A;IFNLR1;TSLP;CD27;TNFRSF13C;CCR7;TNFRSF21;IL17C;INHA;IL12RB1;CCL8;IFNL1;IL1RAP;IL36G;GDF7;CCR6;IL33;IL1A;IL25;TNFSF10;CCL1;EDAR;PRLR;IL12RB2;CXCL12;IL7;NODAL;IL5RA;IL2RB;TNFRSF8;ACVR1C;IL5;INHBA;CCL19;ACVR2B;IL13RA2;MPL,"[33, 38, 46, 50, 60, 65, 142, 169, 185, 192, 209, 216, 222, 251, 257, 264, 325, 335, 352, 363, 366, 465, 483, 484, 511, 525, 561, 577, 589, 592, 594, 636, 664, 665, 679, 692, 711, 719, 793, 848, 873, 900, 913, 972, 973, 978, 995, 1007, 1012, 1080, 1148, 1224, 1232, 1289, 1360, 1455, 1492, 1526, 1553, 1632, 1644, 1647, 1697, 1728, 1738, 1859, 1907, 1930, 1990, 2078, 2113, 2124, 2129, 2179, 2346, 2393, 2536, 2560, 2585, 2588, 2840, 3039, 3052, 3069, 3071, 3189, 3192, 3310, 3361, 3388, 3510, 3518, 3651, 3762, 3814, 3816, 3818, 4144, 4219, 4359, 4374, 4498, 4592, 4898, 5266, 5292, 5314, 5409, 5546, 5652, 5726, 5820, 5926, 6057, 6118, 6469, 6535, 6638, 6667, 6789, 7107, 7125, 7409, 7438, 7512, 7534, 7897, 7987, 8050, 8078, 8121, 8126, 8298, 8393, 8505, 8875, 9155, 9159, 9446, 9509, 9657, 9698, 9942, 10133, 10280, 10342, 10727, 10771, 10797, 10811, 11175, 11255, 11631, 11687, 11701, 12045, 12095, 12165, 12204, 12394, 12505, 12512, 12666, 12698, 12789, 12859, 13309, 13457, 13767, 14062, 14229, 14276, 14555, 14708, 14936, 15154, 15232, 15342, 15487, 15519, 15565, 15960, 15968, 16015, 16261, 16545, 16935, 16946, 16971, 17099, 17102, 17133, 17146, 17192]",WikiPathways_2024_Human__Cytokine Cytokine Receptor Interaction WP5473
WikiPathways_2024_Human,Prostaglandin Signaling WP5088,prerank,0.7502887673120371,2.3612532388356975,0.0,0.00019519313154116308,0.001,15_28,15/28,9.41%,MMP9;CSF1;IRF7;PTGER2;CASP1;CXCL1;CCL2;TGFB1;CXCL9;CCR2;IL6;KLRD1;VEGFA;TNF;CXCL10,MMP9;CSF1;IRF7;PTGER2;CASP1;CXCL1;CCL2;TGFB1;CXCL9;CCR2;IL6;KLRD1;VEGFA;TNF;CXCL10;PYCARD;IL1B;NFKB1;PIK3CG;PTGES;CCL3;AHR;NLRP3;IFNA1;IL12A;CD28;PTGER4;IL1A,"[9, 185, 229, 510, 580, 594, 636, 664, 692, 711, 719, 759, 930, 1526, 1647, 2517, 2654, 4057, 5764, 6202, 7409, 9440, 10212, 10376, 11372, 11843, 12343, 14936]",WikiPathways_2024_Human__Prostaglandin Signaling WP5088
WikiPathways_2024_Human,Complement System In Neuronal Development And Plasticity WP5090,prerank,0.5552724107364342,2.2767565432421493,0.0,0.00039038626308232616,0.002,42_96,42/96,17.58%,C1QA;CASP7;C1QC;C7;C3AR1;CFD;C1QB;PARD3;C5AR1;ITGB2;PARD6G;C4B;C3;TGFB1;CFB;CLU;CFH;TGFB2;TGFB3;ITGAM;C4A;CFI;C1R;SCRIB;BID;AXL;C2;FCN3;PLSCR1;MERTK;CD59;C5AR2;SERPING1;LLGL2;CR1;PLSCR4;C8G;BAX;FCN1;ITGAX;C1S;GAS6,C1QA;CASP7;C1QC;C7;C3AR1;CFD;C1QB;PARD3;C5AR1;ITGB2;PARD6G;C4B;C3;TGFB1;CFB;CLU;CFH;TGFB2;TGFB3;ITGAM;C4A;CFI;C1R;SCRIB;BID;AXL;C2;FCN3;PLSCR1;MERTK;CD59;C5AR2;SERPING1;LLGL2;CR1;PLSCR4;C8G;BAX;FCN1;ITGAX;C1S;GAS6;CASP10;CRB2;ATP10A;DEDD;C9;PARD6A;PARD6B;ATP11C;ATP8B2;COLEC11;MARK2;MARK3;PLSCR3;ATP8B1;FCN2;CFP;CASP9;TYRO3;MFGE8;CD55;HTRA2;CX3CR1;CRB1;ITGB3;CX3CL1;PROS1;BAK1;CAP1;XIAP;SUSD4;ITGAV;ATP8B3;MBP;FAS;C4BPB;CASP8;ATP11A;APAF1;MARK1;CASP3;COLEC12;PRKCZ;CYCS;PRKCI;MASP1;CD46;CSMD1;DIABLO;MASP2;CR2;C6;C4BPA;COLEC10;C5,"[196, 263, 280, 340, 349, 367, 399, 414, 497, 507, 524, 535, 554, 664, 742, 751, 967, 972, 978, 1038, 1070, 1145, 1505, 1529, 1667, 1696, 1909, 1910, 1987, 2013, 2017, 2120, 2181, 2212, 2413, 2442, 2608, 2888, 2968, 2994, 3007, 3078, 3353, 3643, 3878, 3989, 4373, 4533, 4568, 4612, 5374, 5631, 5798, 5988, 6003, 6240, 6383, 6854, 6927, 7082, 7133, 7327, 7337, 7438, 7676, 7794, 7987, 8219, 8374, 9027, 9351, 9515, 9683, 9801, 10265, 10342, 10670, 11055, 11394, 11485, 11632, 11745, 11989, 12117, 12163, 13632, 13721, 14057, 14109, 14118, 15416, 15881, 15917, 16410, 16521, 16539]",WikiPathways_2024_Human__Complement System In Neuronal Development And Plasticity WP5090
WikiPathways_2024_Human,Acute Viral Myocarditis WP4298,prerank,0.5681263850336018,2.2870167021040846,0.0,0.0004258759233625377,0.002,32_81,32/81,16.78%,MMP9;CXCR4;NFKB2;TLR5;CASP7;CD4;ITGB2;PTCRA;CASP1;NOD2;TGFB1;IL6;CD80;RAC3;TNF;KRT8;RAC2;BID;ITGAL;HLA-DMA;SOCS1;BCL2;TICAM1;MICA;CASP6;CCR5;MAPK3;PYCARD;SRC;BCL2L1;BAX;TLR4,MMP9;CXCR4;NFKB2;TLR5;CASP7;CD4;ITGB2;PTCRA;CASP1;NOD2;TGFB1;IL6;CD80;RAC3;TNF;KRT8;RAC2;BID;ITGAL;HLA-DMA;SOCS1;BCL2;TICAM1;MICA;CASP6;CCR5;MAPK3;PYCARD;SRC;BCL2L1;BAX;TLR4;FYN;STAT3;EDN1;AKT1;BNIP2;DFFB;IL12B;ILK;IL10;AIF1;CASP2;PABPC1;SOS1;DAG1;ABL1;EIF4G1;CASP9;CHRAC1;CD55;CAAP1;DFFA;LAMA2;SGCG;JAK1;PARP1;ENDOG;ABL2;CREB1;DMD;MYH6;ACTB;EIF4G2;SGCB;TLR3;CASP8;SGCD;IL12A;MAPK1;CASP3;CYCS;PIK3R1;CCND1;GSK3B;CAV1;RASA1;CXADR;SGCA;NOS1;STAT1,"[9, 50, 127, 160, 263, 463, 507, 509, 580, 626, 664, 719, 1256, 1404, 1526, 1580, 1635, 1667, 1702, 1712, 1768, 1935, 2008, 2019, 2147, 2393, 2396, 2517, 2680, 2851, 2888, 2939, 3313, 3562, 4526, 5056, 5569, 5586, 5684, 5973, 6118, 6152, 6168, 6350, 6414, 6415, 6536, 6785, 6927, 6952, 7327, 7540, 7685, 8134, 8339, 8760, 8903, 9035, 9622, 9625, 9797, 9843, 10243, 10293, 10387, 10466, 11055, 11221, 11372, 11454, 11745, 12163, 13367, 13458, 13944, 13967, 15014, 15617, 15873, 16029, 16067]",WikiPathways_2024_Human__Acute Viral Myocarditis WP4298
WikiPathways_2024_Human,Pathogenesis Of SARS CoV 2 Mediated By Nsp9 Nsp10 Complex WP4884,prerank,0.7684914453128563,2.2343176978588755,0.0,0.0004461557292369442,0.003,13_19,13/19,11.07%,LCK;LBP;IGLL1;CD4;HLA-DRB5;HLA-DRB1;IL6;HLA-DRA;CD2;CRP;MMP25;CD3E;ZAP70,LCK;LBP;IGLL1;CD4;HLA-DRB5;HLA-DRB1;IL6;HLA-DRA;CD2;CRP;MMP25;CD3E;ZAP70;CD247;FYN;NKRF;CD8A;CD3G;CD8B,"[292, 299, 373, 463, 542, 558, 719, 855, 933, 1140, 1297, 1555, 1939, 2961, 3313, 6768, 9566, 9585, 16145]",WikiPathways_2024_Human__Pathogenesis Of SARS CoV 2 Mediated By Nsp9 Nsp10 Complex WP4884
WikiPathways_2024_Human,Toll Like Receptor Signaling WP75,prerank,0.5700359659527525,2.2961704442811204,0.0,0.0004684635156987914,0.002,41_86,41/86,20.48%,IFNA2;TLR5;TLR8;IRF7;LBP;RELA;NFKBIA;TLR2;CXCL11;TLR9;LY96;CXCL9;IL6;CD86;MAP2K3;FOS;CD14;CD80;IRF5;TNF;TLR7;CD40;CXCL10;IRF3;TICAM1;MAP3K8;MAPK11;MAPK3;JUN;IKBKE;TLR6;IL1B;TAB2;IFNA13;TLR4;IKBKB;MAPK12;IRAK1;MYD88;FADD;NFKBIB,IFNA2;TLR5;TLR8;IRF7;LBP;RELA;NFKBIA;TLR2;CXCL11;TLR9;LY96;CXCL9;IL6;CD86;MAP2K3;FOS;CD14;CD80;IRF5;TNF;TLR7;CD40;CXCL10;IRF3;TICAM1;MAP3K8;MAPK11;MAPK3;JUN;IKBKE;TLR6;IL1B;TAB2;IFNA13;TLR4;IKBKB;MAPK12;IRAK1;MYD88;FADD;NFKBIB;MAP2K2;NFKB1;RIPK1;AKT2;MAP2K7;IFNA21;AKT1;SPP1;CCL5;IL12B;MAP2K1;TOLLIP;CCL3;MAPK14;IKBKG;MAP2K6;TRAF3;MAP2K4;IRAK4;MAPK13;IFNAR1;MAP3K7;TLR1;IFNAR2;RAC1;MAPK10;IFNA1;TLR3;TBK1;CCL4;CHUK;CASP8;IL12A;TRAF6;MAPK1;IFNA8;IFNA6;TAB1;MAPK9;MAPK8;AKT3;TIRAP;TICAM2;TAB3;STAT1,"[38, 160, 203, 229, 299, 401, 438, 493, 511, 658, 686, 692, 719, 827, 1025, 1219, 1238, 1256, 1337, 1526, 1546, 1644, 1647, 1781, 2008, 2038, 2200, 2396, 2405, 2436, 2518, 2654, 2799, 2889, 2939, 3163, 3184, 3238, 3306, 3465, 3587, 3848, 4057, 4099, 4256, 4266, 4584, 5056, 5115, 5546, 5684, 5838, 7314, 7409, 7542, 7641, 7669, 7749, 8171, 8469, 8840, 9159, 9199, 9285, 9657, 9784, 10274, 10376, 10466, 10517, 10797, 10904, 11055, 11372, 11426, 11454, 11566, 12258, 12654, 13747, 13764, 14271, 14796, 14963, 15299, 16067]",WikiPathways_2024_Human__Toll Like Receptor Signaling WP75
WikiPathways_2024_Human,Th17 Cell Differentiation Pathway WP5130,prerank,0.5982459361822798,2.240972135879509,0.0,0.0004804754007167091,0.003,33_59,33/59,18.06%,LAT;SOCS3;IL4R;LCK;NFIL3;NFKBIA;CD4;IL27;TGFB1;IL6;RUNX1;GATA3;HSP90AA1;PLCG1;PER1;FOS;TBX21;RXRA;NFATC1;NR1D1;CD3E;IL6R;HLA-DMA;ZAP70;IL27RA;TYK2;IL21R;JUN;IL1B;STAT6;CD247;IL23A;IKBKB,LAT;SOCS3;IL4R;LCK;NFIL3;NFKBIA;CD4;IL27;TGFB1;IL6;RUNX1;GATA3;HSP90AA1;PLCG1;PER1;FOS;TBX21;RXRA;NFATC1;NR1D1;CD3E;IL6R;HLA-DMA;ZAP70;IL27RA;TYK2;IL21R;JUN;IL1B;STAT6;CD247;IL23A;IKBKB;STAT3;STAT5A;NFKB1;RARA;CRY1;TGFBR1;IFNGR1;SMAD2;MAPK14;RORA;HIF1A;JAK1;JAK2;IL4;AHR;CD3G;IRF4;MAPK1;MTOR;PPP3CA;CLOCK;MAPK8;STAT1;FOXP3;PRKCQ;RORC,"[152, 158, 222, 292, 310, 438, 463, 577, 664, 719, 845, 951, 996, 1030, 1212, 1219, 1377, 1409, 1445, 1512, 1555, 1632, 1712, 1939, 2078, 2267, 2346, 2405, 2654, 2660, 2961, 3039, 3163, 3562, 3694, 4057, 4735, 4903, 5314, 5652, 6984, 7542, 7937, 8186, 8760, 8819, 9155, 9440, 9585, 9586, 11454, 11465, 11614, 13253, 13764, 16067, 16395, 16876, 17426]",WikiPathways_2024_Human__Th17 Cell Differentiation Pathway WP5130
WikiPathways_2024_Human,Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559,prerank,0.7085943331569882,2.2129931844792603,0.0,0.00048798282885290767,0.003,17_27,17/27,16.78%,NFKB2;TLR8;IL4R;IL2RG;CCL2;TGFB1;CD86;TGFB2;TGFB3;CD80;TLR7;CXCL10;SOCS1;CD274;TGFBR2;STAT6;TLR4,NFKB2;TLR8;IL4R;IL2RG;CCL2;TGFB1;CD86;TGFB2;TGFB3;CD80;TLR7;CXCL10;SOCS1;CD274;TGFBR2;STAT6;TLR4;STAT3;NFKB1;CCL5;PDCD1;PIAS3;IRAK4;IL4;CTLA4;TRAF6;IL2RB,"[127, 203, 222, 264, 636, 664, 827, 972, 978, 1256, 1546, 1647, 1768, 2015, 2124, 2660, 2939, 3562, 4057, 5546, 7295, 8246, 8469, 9155, 10060, 11426, 16545]",WikiPathways_2024_Human__Interactions Immune Cells And miRNAs In Tumor Microenvironment WP4559
WikiPathways_2024_Human,Burn Wound Healing WP5055,prerank,0.5708866453547033,2.1846513935636156,0.0,0.0005205150174431016,0.004,36_65,36/65,17.60%,SERPINH1;MMP9;IFNA2;CXCR4;CXCR2;HGF;CXCL1;F13A1;CCL2;PDGFRB;IL6;S100A9;ICAM1;VEGFA;TGFB2;TGFB3;FGFR4;S100A11;S100A6;SFRP2;DCN;KLF4;TIMP1;TNF;CD3E;AMBP;BCL2;COL1A2;ACTA1;IL1B;LGALS1;TPT1;BRD4;BAX;TLR4;COL1A1,SERPINH1;MMP9;IFNA2;CXCR4;CXCR2;HGF;CXCL1;F13A1;CCL2;PDGFRB;IL6;S100A9;ICAM1;VEGFA;TGFB2;TGFB3;FGFR4;S100A11;S100A6;SFRP2;DCN;KLF4;TIMP1;TNF;CD3E;AMBP;BCL2;COL1A2;ACTA1;IL1B;LGALS1;TPT1;BRD4;BAX;TLR4;COL1A1;MYD88;EGF;FGFR3;IL15;NFKB1;FGFR1;AKT1;ACHE;SMAD3;SNAI2;FST;MMP28;TP53;CDK16;SCEL;ELN;CASP3;FGFR2;HMGB1;CHRNA7;MMP2;FLG;CXCL12;NOX4;FBN1;KRT222;TAGLN;INHBA;TNC,"[5, 9, 38, 50, 169, 374, 594, 631, 636, 646, 719, 820, 847, 930, 972, 978, 980, 1102, 1299, 1343, 1395, 1437, 1515, 1526, 1555, 1809, 1935, 2167, 2524, 2654, 2686, 2707, 2852, 2888, 2939, 3083, 3306, 3525, 3534, 3762, 4057, 4268, 5056, 5553, 5959, 7184, 7227, 7726, 8757, 10316, 10469, 11019, 11745, 12121, 12555, 13009, 14153, 15530, 15960, 16161, 16399, 16506, 16652, 17099, 17288]",WikiPathways_2024_Human__Burn Wound Healing WP5055
