TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
c2.cp.kegg_legacy,KEGG_RIBOSOME,prerank,0.5721969174680879,2.2718237471347518,0.0,0.0,0.0,76_86,76/86,36.12%,RPL3L;RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPL13;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;RPL24;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPL7A;RPL29;RPL23A;RPL36A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPL10;RPS15A;RPL30;RPL5;RPL22;RPL17;RPL37;RPLP0;RPL26L1,RPL3L;RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPS27L;RPL13;RPS10;RPL34;RPL18;RPLP2;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPL36AL;RPS5;RPL27;RPS11;RPL28;RPL38;RPL24;RPS29;RPL14;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6;RPS27A;RPL3;RPS7;RPS3A;RPS25;RPL7A;RPL29;RPL23A;RPL36A;RPS18;RPL32;UBA52;RPL19;RPS13;RPS9;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPL23;RPS2;RPS4Y1;RPS27;RPL10;RPS15A;RPL30;RPL5;RPL22;RPL17;RPL37;RPLP0;RPL26L1;RPL41;RPS23;RPL10A;RPL21;RPL22L1;RSL24D1;RPL12;RPL15;MRPL13;RPL26,"[1405, 1679, 2297, 2336, 2583, 2683, 2741, 2875, 2917, 3058, 3066, 3110, 3161, 3204, 3240, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3614, 3634, 3685, 3894, 3907, 3938, 3947, 4014, 4056, 4093, 4125, 4156, 4163, 4202, 4212, 4220, 4247, 4340, 4464, 4465, 4486, 4491, 4542, 4603, 4699, 4751, 4782, 4800, 4803, 4863, 4864, 4883, 4925, 4984, 5014, 5032, 5044, 5294, 5360, 5363, 5365, 5443, 5472, 5557, 5753, 5905, 5993, 6030, 6075, 6109, 6172, 6213, 6265, 6327, 6566, 6735, 7111, 7173, 7768, 8365, 8419, 10085, 11367, 16730]",c2.cp.kegg_legacy__KEGG_RIBOSOME
c2.cp.kegg_legacy,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,prerank,0.6335326579393121,2.2560085347344647,0.0,0.0,0.0,26_48,26/48,10.95%,FCGR3B;FCGR2B;C1QA;C1QC;FCGR2A;C7;C1QB;C4B;HLA-DRB5;C3;HLA-DRB1;FCGR1A;CD86;HLA-DRA;HLA-DMB;FCGR3A;C4A;CD80;HLA-DPB1;C1R;TNF;CD40;HLA-DMA;HLA-DQA1;C2;HLA-DPA1,FCGR3B;FCGR2B;C1QA;C1QC;FCGR2A;C7;C1QB;C4B;HLA-DRB5;C3;HLA-DRB1;FCGR1A;CD86;HLA-DRA;HLA-DMB;FCGR3A;C4A;CD80;HLA-DPB1;C1R;TNF;CD40;HLA-DMA;HLA-DQA1;C2;HLA-DPA1;C8G;HLA-DOA;C1S;ACTN1;HLA-DQB1;C9;TRIM21;SNRPB;IL10;SSB;ACTN4;HLA-DQA2;SNRPD1;ELANE;CD28;SNRPD3;GRIN2A;C6;ACTN2;C5;HLA-DOB;GRIN2B,"[144, 180, 196, 280, 313, 340, 399, 535, 542, 554, 558, 808, 827, 855, 914, 954, 1070, 1256, 1268, 1505, 1526, 1644, 1712, 1718, 1909, 1918, 2608, 2615, 3007, 4155, 4269, 4373, 4452, 5464, 6118, 8412, 9398, 10139, 11069, 11164, 11843, 13492, 14582, 15917, 16276, 16539, 17030, 17110]",c2.cp.kegg_legacy__KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS
c2.cp.kegg_legacy,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,prerank,0.6046533549993728,2.2840039305700492,0.0,0.0,0.0,27_66,27/66,16.61%,HSPA6;HSPA1A;HSPA1B;IFNA2;LTA;HSPA1L;CD4;HLA-DRB5;HLA-DRB1;KLRD1;CIITA;HLA-DRA;CD74;HLA-DMB;HSP90AA1;HLA-DPB1;CTSS;HLA-DMA;HLA-DQA1;HLA-DPA1;TAP1;HSPA5;HSP90AB1;HLA-DOA;HSPA4;IFNA13;HLA-E,HSPA6;HSPA1A;HSPA1B;IFNA2;LTA;HSPA1L;CD4;HLA-DRB5;HLA-DRB1;KLRD1;CIITA;HLA-DRA;CD74;HLA-DMB;HSP90AA1;HLA-DPB1;CTSS;HLA-DMA;HLA-DQA1;HLA-DPA1;TAP1;HSPA5;HSP90AB1;HLA-DOA;HSPA4;IFNA13;HLA-E;HLA-B;TAPBP;HLA-F;HLA-DQB1;IFNA21;CALR;HLA-C;TAP2;PSME2;RFXANK;CTSB;NFYC;PSME1;HSPA2;HLA-A;PDIA3;HSPA8;IFI30;KLRC4;KLRC3;KLRC2;B2M;HLA-G;CD8A;CREB1;HLA-DQA2;CANX;IFNA1;LGMN;NFYB;IFNA8;RFX5;PSME3;IFNA6;NFYA;RFXAP;CD8B;HLA-DOB;KLRC1,"[0, 2, 7, 38, 209, 445, 463, 542, 558, 759, 815, 855, 908, 914, 996, 1268, 1687, 1712, 1718, 1918, 1919, 2084, 2454, 2615, 2885, 2889, 2908, 3273, 3865, 3913, 4269, 4584, 4607, 5034, 5067, 5113, 5643, 5660, 5668, 5690, 6101, 7026, 7372, 7892, 7978, 8018, 8331, 8441, 8759, 9169, 9566, 9625, 10139, 10226, 10376, 10504, 11242, 11566, 11605, 12096, 12258, 13054, 14723, 16145, 17030, 17149]",c2.cp.kegg_legacy__KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION
c2.cp.kegg_legacy,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,prerank,0.5881362433906949,2.390619416444684,0.0,0.0,0.0,43_93,43/93,18.88%,IFNA2;TLR5;TLR8;IRF7;LBP;RELA;NFKBIA;TLR2;CXCL11;PIK3R2;PIK3R5;TLR9;LY96;CXCL9;IL6;CD86;MAP2K3;FOS;CD14;CD80;IRF5;TNF;TLR7;CD40;CXCL10;PIK3CD;IRF3;TICAM1;MAP3K8;CTSK;MAPK11;MAPK3;JUN;IKBKE;TLR6;IL1B;TAB2;IFNA13;TLR4;IKBKB;MAPK12;IRAK1;MYD88,IFNA2;TLR5;TLR8;IRF7;LBP;RELA;NFKBIA;TLR2;CXCL11;PIK3R2;PIK3R5;TLR9;LY96;CXCL9;IL6;CD86;MAP2K3;FOS;CD14;CD80;IRF5;TNF;TLR7;CD40;CXCL10;PIK3CD;IRF3;TICAM1;MAP3K8;CTSK;MAPK11;MAPK3;JUN;IKBKE;TLR6;IL1B;TAB2;IFNA13;TLR4;IKBKB;MAPK12;IRAK1;MYD88;FADD;MAP2K2;NFKB1;RIPK1;AKT2;MAP2K7;IFNA21;AKT1;SPP1;CCL5;IL12B;PIK3CG;MAP2K1;PIK3R3;PIK3CA;TOLLIP;CCL3;MAPK14;IKBKG;MAP2K6;TRAF3;MAP2K4;IRAK4;MAPK13;IFNAR1;MAP3K7;TLR1;IFNAR2;RAC1;MAPK10;IFNA1;TLR3;TBK1;CCL4;CHUK;CASP8;IL12A;TRAF6;MAPK1;IFNA8;PIK3CB;IFNA6;TAB1;PIK3R1;MAPK9;MAPK8;AKT3;TIRAP;TICAM2;STAT1,"[38, 160, 203, 229, 299, 401, 438, 493, 511, 526, 564, 658, 686, 692, 719, 827, 1025, 1219, 1238, 1256, 1337, 1526, 1546, 1644, 1647, 1757, 1781, 2008, 2038, 2173, 2200, 2396, 2405, 2436, 2518, 2654, 2799, 2889, 2939, 3163, 3184, 3238, 3306, 3465, 3848, 4057, 4099, 4256, 4266, 4584, 5056, 5115, 5546, 5684, 5764, 5838, 6685, 7246, 7314, 7409, 7542, 7641, 7669, 7749, 8171, 8469, 8840, 9159, 9199, 9285, 9657, 9784, 10274, 10376, 10466, 10517, 10797, 10904, 11055, 11372, 11426, 11454, 11566, 12207, 12258, 12654, 13367, 13747, 13764, 14271, 14796, 14963, 16067]",c2.cp.kegg_legacy__KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
c2.cp.kegg_legacy,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,prerank,0.5555718512352172,2.540028167032137,0.0,0.0,0.0,86_202,86/202,15.16%,TNFRSF10D;IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CCL17;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;IL2RG;TNFRSF4;LIF;TNFRSF10A;IL18;HGF;TNFRSF1A;EPOR;CXCL11;TNFRSF1B;CCL20;IL15RA;CLCF1;CXCL1;CCL2;PDGFRB;TGFB1;CSF3;LTBR;CXCL9;FLT4;CCR2;IL6;CSF3R;CXCL3;FLT3LG;TNFRSF10B;CCL26;VEGFA;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;FLT1;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;TNF;IFNL3;OSMR;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;EGFR;CCR1;IL18RAP;PLEKHO2;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;CTF1;VEGFB;BMP7;IFNGR2;AMH;CXCL5;IL1B,TNFRSF10D;IL1R2;IFNA2;CXCL6;CXCR4;TNFSF14;PPBP;CCL17;CXCR1;CXCR2;CSF1;IL17RB;LTA;TNFRSF11B;IL4R;TNFRSF12A;IL2RG;TNFRSF4;LIF;TNFRSF10A;IL18;HGF;TNFRSF1A;EPOR;CXCL11;TNFRSF1B;CCL20;IL15RA;CLCF1;CXCL1;CCL2;PDGFRB;TGFB1;CSF3;LTBR;CXCL9;FLT4;CCR2;IL6;CSF3R;CXCL3;FLT3LG;TNFRSF10B;CCL26;VEGFA;TGFB2;CSF1R;TGFB3;IL9;TNFRSF10C;IL7R;TPO;FLT1;INHBB;CNTFR;ACVRL1;IL18R1;TNFRSF25;CXCL16;TNF;IFNL3;OSMR;IL6R;CD40;CXCL10;EDA;IL10RA;CCL22;INHBE;EGFR;CCR1;IL18RAP;PLEKHO2;IL10RB;TGFBR2;TNFSF12;IL17B;IL21R;CCR5;CTF1;VEGFB;BMP7;IFNGR2;AMH;CXCL5;IL1B;IFNA13;IL23A;TNFSF13B;IL13RA1;BMPR1B;NGFR;IL1R1;CXCL13;OSM;EGF;TNFRSF14;IL15;CCL25;CXCL2;TNFRSF17;TNFSF8;CCR9;IL11RA;TNFSF9;PDGFC;IFNA21;LEPR;TNFSF13;IL20RB;IL17RA;TGFBR1;IL20RA;CCL5;IFNGR1;IL12B;IL6ST;TNFRSF19;VEGFC;LTB;IL10;XCL1;TNFRSF18;LIFR;IFNE;BMPR1A;PDGFB;CCR10;GHR;CCL3;CX3CR1;CCL4L2;IL22RA1;PDGFA;CSF2RB;CX3CL1;ACVR1B;RELT;GDF5;IL11;PF4;IL13;TNFSF4;IL4;IFNAR1;EDA2R;CCL28;IFNAR2;ACVR2A;BMPR2;CXCR6;CXCL14;FAS;IFNA1;IL24;PDGFRA;CCL4;CD70;KDR;CNTF;ACVR1;BMP2;IL12A;IFNA8;EPO;IFNW1;INHBC;TNFRSF11A;IFNLR1;IFNA6;TSLP;CD27;TNFRSF13C;CCR7;TNFRSF21;IL12RB1;CCL8;IFNL1;KITLG;IL1RAP;CCR6;TNFSF18;IL1A;IL25;TNFSF10;MET;CCL1;EDAR;PRLR;IL12RB2;CXCL12;IL7;IL5RA;KIT;IL2RB;TNFRSF8;IL5;INHBA;CCL19;ACVR2B;MPL;FLT3,"[26, 33, 38, 46, 50, 60, 65, 67, 142, 169, 185, 192, 209, 216, 222, 251, 264, 335, 352, 363, 366, 374, 465, 484, 511, 525, 561, 589, 592, 594, 636, 646, 664, 665, 679, 692, 701, 711, 719, 848, 873, 883, 900, 913, 930, 972, 973, 978, 995, 1007, 1012, 1080, 1094, 1148, 1224, 1232, 1289, 1360, 1455, 1526, 1553, 1558, 1632, 1644, 1647, 1697, 1728, 1738, 1859, 1890, 1907, 1930, 2053, 2113, 2124, 2129, 2179, 2346, 2393, 2407, 2475, 2536, 2560, 2585, 2588, 2654, 2889, 3039, 3052, 3069, 3189, 3192, 3361, 3388, 3455, 3525, 3651, 3762, 3814, 3816, 3818, 3935, 4219, 4359, 4374, 4382, 4584, 4592, 4642, 5266, 5292, 5314, 5409, 5546, 5652, 5684, 5726, 5926, 6029, 6057, 6118, 6469, 6535, 6638, 6643, 6667, 6686, 7107, 7125, 7409, 7438, 7512, 7534, 7605, 7897, 7987, 8050, 8078, 8121, 8126, 8298, 8393, 8505, 9155, 9159, 9446, 9509, 9657, 9698, 9942, 10133, 10280, 10342, 10376, 10727, 10756, 10797, 10811, 11145, 11175, 11255, 11288, 11372, 11566, 11631, 11701, 12045, 12165, 12204, 12258, 12394, 12505, 12512, 12666, 12698, 13309, 13457, 13767, 13937, 14062, 14555, 14890, 14936, 15154, 15232, 15339, 15342, 15487, 15519, 15565, 15960, 15968, 16261, 16477, 16545, 16935, 16971, 17099, 17102, 17133, 17192, 17410]",c2.cp.kegg_legacy__KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
c2.cp.kegg_legacy,KEGG_LEISHMANIA_INFECTION,prerank,0.6136412481493431,2.3422766009887654,0.0,0.0,0.0,41_68,41/68,18.88%,FCGR3B;NCF1;FCGR2A;NCF4;RELA;NFKBIA;CYBA;TLR2;ITGB2;HLA-DRB5;C3;HLA-DRB1;TGFB1;FCGR1A;HLA-DRA;ELK1;HLA-DMB;FCGR3A;TGFB2;TGFB3;ITGAM;FOS;HLA-DPB1;TNF;HLA-DMA;HLA-DQA1;HLA-DPA1;PTPN6;MAPK11;MAPK3;JUN;CR1;IFNGR2;HLA-DOA;IL1B;TAB2;TLR4;NCF2;MAPK12;IRAK1;MYD88,FCGR3B;NCF1;FCGR2A;NCF4;RELA;NFKBIA;CYBA;TLR2;ITGB2;HLA-DRB5;C3;HLA-DRB1;TGFB1;FCGR1A;HLA-DRA;ELK1;HLA-DMB;FCGR3A;TGFB2;TGFB3;ITGAM;FOS;HLA-DPB1;TNF;HLA-DMA;HLA-DQA1;HLA-DPA1;PTPN6;MAPK11;MAPK3;JUN;CR1;IFNGR2;HLA-DOA;IL1B;TAB2;TLR4;NCF2;MAPK12;IRAK1;MYD88;NFKBIB;NFKB1;HLA-DQB1;IFNGR1;IL12B;IL10;MAPK14;IRAK4;JAK1;JAK2;MAPK13;IL4;MAP3K7;HLA-DQA2;IL12A;TRAF6;MAPK1;ITGB1;TAB1;NOS2;PTGS2;IL1A;PRKCB;MARCKSL1;STAT1;ITGA4;HLA-DOB,"[144, 306, 313, 392, 401, 438, 470, 493, 507, 542, 554, 558, 664, 808, 855, 858, 914, 954, 972, 978, 1038, 1219, 1268, 1526, 1712, 1718, 1918, 2040, 2200, 2396, 2405, 2413, 2560, 2615, 2654, 2799, 2939, 3164, 3184, 3238, 3306, 3587, 4057, 4269, 5652, 5684, 6118, 7542, 8469, 8760, 8819, 8840, 9155, 9199, 10139, 11372, 11426, 11454, 11941, 12654, 12760, 13656, 14936, 15245, 15700, 16067, 16938, 17030]",c2.cp.kegg_legacy__KEGG_LEISHMANIA_INFECTION
c2.cp.kegg_legacy,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,prerank,0.6244131924082125,2.325688607973692,0.0,0.0,0.0,33_61,33/61,14.89%,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;F13A1;CFB;PROC;F10;CFH;KLKB1;C4A;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;CD59;SERPING1;CR1;THBD;C8G,SERPINF2;SERPINA5;SERPINC1;C1QA;C1QC;PLAUR;C7;C3AR1;CFD;C1QB;SERPINA1;C5AR1;C4B;C3;F13A1;CFB;PROC;F10;CFH;KLKB1;C4A;SERPIND1;CFI;C1R;C2;VWF;TFPI;SERPINE1;CD59;SERPING1;CR1;THBD;C8G;C1S;F12;F11;PLAU;C9;PLAT;F2;CD55;F2R;A2M;PROS1;BDKRB1;KNG1;C4BPB;PLG;CPB2;F5;F3;MASP1;F8;CD46;MASP2;CR2;C6;BDKRB2;F7;C4BPA;C5,"[121, 164, 178, 196, 280, 295, 340, 349, 367, 399, 459, 497, 535, 554, 631, 742, 782, 817, 967, 968, 1070, 1107, 1145, 1505, 1909, 1921, 1966, 1969, 2017, 2181, 2413, 2546, 2608, 3007, 3527, 3873, 3981, 4373, 5388, 7278, 7327, 7732, 7759, 8219, 9088, 9160, 10670, 11564, 11762, 12241, 13150, 13721, 13730, 14057, 15416, 15881, 15917, 16109, 16191, 16410, 16539]",c2.cp.kegg_legacy__KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
c2.cp.kegg_legacy,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,prerank,0.5228730724051459,2.180670963298189,0.0,0.00015335223028558142,0.001,52_112,52/112,19.29%,TNFRSF10D;IFNA2;FCGR3B;LAT;MICB;LCK;TNFRSF10A;ITGB2;NFATC4;PIK3R2;PIK3R5;ICAM2;TYROBP;KLRD1;SYK;ICAM1;FCER1G;TNFRSF10B;FCGR3A;TNFRSF10C;PLCG1;SH2D1B;ULBP2;NFATC2;RAC3;NFATC1;VAV3;TNF;RAC2;BID;ITGAL;PIK3CD;ZAP70;MICA;PTPN6;VAV1;KLRK1;MAPK3;RAET1G;SHC2;HCST;IFNGR2;CD48;IFNA13;HLA-E;CD247;PRF1;SH3BP2;HLA-B;LCP2;FYN;SH2D1A,TNFRSF10D;IFNA2;FCGR3B;LAT;MICB;LCK;TNFRSF10A;ITGB2;NFATC4;PIK3R2;PIK3R5;ICAM2;TYROBP;KLRD1;SYK;ICAM1;FCER1G;TNFRSF10B;FCGR3A;TNFRSF10C;PLCG1;SH2D1B;ULBP2;NFATC2;RAC3;NFATC1;VAV3;TNF;RAC2;BID;ITGAL;PIK3CD;ZAP70;MICA;PTPN6;VAV1;KLRK1;MAPK3;RAET1G;SHC2;HCST;IFNGR2;CD48;IFNA13;HLA-E;CD247;PRF1;SH3BP2;HLA-B;LCP2;FYN;SH2D1A;MAP2K2;SHC1;ARAF;HRAS;RAF1;IFNA21;ULBP3;HLA-C;RAET1E;NCR3;PPP3CC;IFNGR1;PIK3CG;MAP2K1;SOS1;PTK2B;PIK3R3;HLA-A;PIK3CA;ULBP1;CD244;NFATC3;PLCG2;VAV2;KLRC3;KLRC2;IFNAR1;HLA-G;IFNAR2;RAC1;GZMB;GRB2;FAS;IFNA1;PRKCG;PRKCA;MAPK1;IFNA8;PPP3CA;CASP3;PPP3R1;SOS2;PIK3CB;PPP3R2;IFNA6;SHC4;PPP3CB;KRAS;PIK3R1;CHP1;PTPN11;NRAS;TNFSF10;PRKCB;PAK1;NFAT5;BRAF;KLRC1;CHP2;SHC3,"[26, 38, 144, 152, 177, 292, 363, 507, 516, 526, 564, 640, 656, 759, 810, 847, 857, 900, 954, 1007, 1030, 1076, 1168, 1221, 1404, 1445, 1461, 1526, 1635, 1667, 1702, 1757, 1939, 2019, 2040, 2128, 2178, 2396, 2424, 2481, 2483, 2560, 2604, 2889, 2908, 2961, 2997, 3168, 3273, 3280, 3313, 3378, 3848, 4467, 4511, 4564, 4575, 4584, 5012, 5034, 5075, 5093, 5541, 5652, 5764, 5838, 6414, 6612, 6685, 7026, 7246, 7453, 7682, 7917, 8064, 8155, 8331, 8441, 9159, 9169, 9657, 9784, 9864, 10155, 10342, 10376, 10416, 10548, 11454, 11566, 11614, 11745, 11883, 12039, 12207, 12225, 12258, 12289, 12709, 12990, 13367, 13828, 13915, 14556, 15232, 15245, 15429, 15785, 17096, 17149, 17257, 17412]",c2.cp.kegg_legacy__KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY
c2.cp.kegg_legacy,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,prerank,0.5914453545066667,2.1867985381409354,0.0,0.0001725212590712791,0.001,33_56,33/56,24.14%,CARD9;IL18;RELA;NFKBIA;CASP1;CXCL1;NOD2;CCL2;IL6;MEFV;HSP90AA1;TNFAIP3;BIRC3;PSTPIP1;CARD6;TNF;CASP5;MAPK11;MAPK3;HSP90AB1;SUGT1;PYCARD;IL1B;TAB2;IKBKB;MAPK12;NOD1;NFKBIB;CXCL2;TRIP6;NFKB1;CARD8;NLRP1,CARD9;IL18;RELA;NFKBIA;CASP1;CXCL1;NOD2;CCL2;IL6;MEFV;HSP90AA1;TNFAIP3;BIRC3;PSTPIP1;CARD6;TNF;CASP5;MAPK11;MAPK3;HSP90AB1;SUGT1;PYCARD;IL1B;TAB2;IKBKB;MAPK12;NOD1;NFKBIB;CXCL2;TRIP6;NFKB1;CARD8;NLRP1;RIPK2;PYDC1;CCL5;HSP90B1;NLRC4;BIRC2;MAPK14;IKBKG;MAPK13;MAP3K7;XIAP;NLRP3;MAPK10;CHUK;CASP8;TRAF6;MAPK1;NAIP;TAB1;CCL8;MAPK9;MAPK8;TAB3,"[147, 366, 401, 438, 580, 594, 626, 636, 719, 807, 996, 1329, 1351, 1376, 1423, 1526, 1649, 2200, 2396, 2454, 2468, 2517, 2654, 2799, 3163, 3184, 3384, 3587, 3816, 3875, 4057, 4071, 4228, 4669, 4935, 5546, 5669, 6386, 6635, 7542, 7641, 8840, 9199, 9351, 10212, 10274, 10904, 11055, 11426, 11454, 12297, 12654, 13457, 13747, 13764, 15299]",c2.cp.kegg_legacy__KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY
c2.cp.kegg_legacy,KEGG_PRIMARY_IMMUNODEFICIENCY,prerank,0.6288405781053416,2.025108610593744,0.0,0.001932238101598326,0.013,15_30,15/30,15.17%,IL2RG;LCK;IGLL1;CD4;AIRE;CIITA;IL7R;CD3E;CD40;UNG;BTK;TAP1;ZAP70;PTPRC;CD79A,IL2RG;LCK;IGLL1;CD4;AIRE;CIITA;IL7R;CD3E;CD40;UNG;BTK;TAP1;ZAP70;PTPRC;CD79A;BLNK;JAK3;RAG2;TAP2;ADA;RFXANK;DCLRE1C;IKBKG;CD8A;RAG1;RFX5;CD19;TNFRSF13C;RFXAP;CD8B,"[264, 292, 373, 463, 671, 815, 1012, 1555, 1644, 1665, 1801, 1919, 1939, 2422, 2657, 4333, 4746, 4814, 5067, 5260, 5643, 7117, 7641, 9566, 11033, 11605, 11727, 12512, 14723, 16145]",c2.cp.kegg_legacy__KEGG_PRIMARY_IMMUNODEFICIENCY
c2.cp.kegg_legacy,KEGG_ASTHMA,prerank,0.6534456841212667,2.018768314487845,0.0,0.00225846011875129,0.016,14_23,14/23,10.95%,RNASE3;HLA-DRB5;HLA-DRB1;FCER1A;HLA-DRA;FCER1G;HLA-DMB;IL9;HLA-DPB1;TNF;CD40;HLA-DMA;HLA-DQA1;HLA-DPA1,RNASE3;HLA-DRB5;HLA-DRB1;FCER1A;HLA-DRA;FCER1G;HLA-DMB;IL9;HLA-DPB1;TNF;CD40;HLA-DMA;HLA-DQA1;HLA-DPA1;HLA-DOA;HLA-DQB1;IL10;IL13;IL4;HLA-DQA2;EPX;IL5;HLA-DOB,"[210, 542, 558, 722, 855, 857, 914, 995, 1268, 1526, 1644, 1712, 1718, 1918, 2615, 4269, 6118, 8393, 9155, 10139, 15502, 16971, 17030]",c2.cp.kegg_legacy__KEGG_ASTHMA
c2.cp.kegg_legacy,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,prerank,0.48598195577719966,1.960495350685985,0.0,0.0036804535268539543,0.029,29_91,29/91,16.10%,LAT;FCGR2B;NCF1;FCGR2A;SCIN;PIK3R2;PIK3R5;FCGR1A;SYK;VASP;INPP5D;FCGR3A;ARPC1B;WAS;PLA2G4E;PLCG1;VAV3;PLA2G4B;RAC2;PIK3CD;DOCK2;HCK;VAV1;SPHK1;MAPK3;PTPRC;ASAP3;LIMK2;WASF2,LAT;FCGR2B;NCF1;FCGR2A;SCIN;PIK3R2;PIK3R5;FCGR1A;SYK;VASP;INPP5D;FCGR3A;ARPC1B;WAS;PLA2G4E;PLCG1;VAV3;PLA2G4B;RAC2;PIK3CD;DOCK2;HCK;VAV1;SPHK1;MAPK3;PTPRC;ASAP3;LIMK2;WASF2;PIP5K1C;AKT2;RAF1;SPHK2;MYO10;CRK;AKT1;GSN;CRKL;PIK3CG;MAP2K1;ARPC4;PIP4K2B;LYN;PIK3R3;DNM2;PLA2G4D;ARF6;ARPC1A;PIK3CA;RPS6KB2;CFL1;LIMK1;ARPC5L;PLCG2;RPS6KB1;VAV2;DNM1;PLD2;MARCKS;ARPC3;PRKCD;PLA2G4A;RAC1;AMPH;PIP5K1A;WASL;ASAP1;PRKCG;WASF3;PRKCA;ARPC5;ARPC2;MAPK1;WASF1;GAB2;PIK3CB;PLA2G6;ASAP2;PIKFYVE;PIK3R1;PIP5K1B;CDC42;AKT3;PRKCE;DNM1L;PRKCB;PAK1;PLD1;CFL2;MARCKSL1;DNM3,"[152, 180, 306, 313, 393, 526, 564, 808, 810, 840, 868, 954, 965, 985, 1005, 1030, 1461, 1622, 1635, 1757, 1779, 1914, 2128, 2315, 2396, 2422, 2495, 2754, 2820, 3646, 4256, 4575, 4690, 4691, 4758, 5056, 5373, 5689, 5764, 5838, 6139, 6576, 6593, 6685, 6722, 6748, 6875, 7165, 7246, 7282, 7296, 7358, 7365, 8064, 8108, 8155, 8452, 8523, 8773, 8867, 9634, 9780, 9784, 9827, 9849, 9881, 9940, 10416, 10494, 10548, 10736, 11250, 11454, 11887, 12098, 12207, 12503, 13270, 13299, 13367, 13751, 13775, 14271, 14322, 14940, 15245, 15429, 15540, 15644, 15700, 16248]",c2.cp.kegg_legacy__KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS
