TermCollection,Term,name,es,nes,pval,fdr,fwerp,leadhits_total,tag %,gene %,lead_genes,matched_genes,hits,TermCollection_Term
WikiPathways_2024_Mouse,Tyrobp Causal Network In Microglia WP3625,prerank,0.7142440487932565,2.678514871801237,0.0,0.0,0.0,38_57,38/57,18.07%,HCLS1;C1QC;IL18;RUNX3;CD37;TCIRG1;CD4;RBM47;ITGB2;TNFRSF1B;PPP1R18;C3;TYROBP;RNASE6;HLX;ELF4;SLC1A5;ITGAM;ZFP36L2;CXCL16;SLC7A7;MAF;IL10RA;GAPT;LYL1;LHFPL2;CD84;CAPG;APBB1IP;PLEK;PYCARD;GPX1;BIN2;NPC2;RGS1;ITGAX;IL13RA1;NCF2,HCLS1;C1QC;IL18;RUNX3;CD37;TCIRG1;CD4;RBM47;ITGB2;TNFRSF1B;PPP1R18;C3;TYROBP;RNASE6;HLX;ELF4;SLC1A5;ITGAM;ZFP36L2;CXCL16;SLC7A7;MAF;IL10RA;GAPT;LYL1;LHFPL2;CD84;CAPG;APBB1IP;PLEK;PYCARD;GPX1;BIN2;NPC2;RGS1;ITGAX;IL13RA1;NCF2;NCKAP1L;STAT5A;ABCC4;SAMSN1;RPS6KA1;TMEM106A;GAL3ST4;SPP1;CYTL1;TGFBR1;IGSF6;ADAP2;SH2B3;LOXL3;CREB3L2;KCNE3;SFT2D2;FKBP15;DPYD,"[219, 280, 366, 371, 436, 437, 463, 469, 507, 525, 538, 554, 656, 662, 799, 803, 916, 1038, 1382, 1455, 1607, 1694, 1728, 1759, 1861, 1956, 1992, 2112, 2337, 2474, 2517, 2540, 2679, 2760, 2808, 2994, 3069, 3164, 3466, 3694, 3712, 4147, 4277, 4408, 4461, 5115, 5182, 5314, 5466, 6130, 6650, 6962, 7479, 7981, 9300, 11210, 13053]",WikiPathways_2024_Mouse__Tyrobp Causal Network In Microglia WP3625
WikiPathways_2024_Mouse,Microglia Pathogen Phagocytosis Pathway WP3626,prerank,0.762863937616917,2.596892289958081,0.0,0.0,0.0,23_37,23/37,12.15%,LAT;C1QA;C1QC;NCF1;NCF4;C1QB;CYBA;ITGB2;PIK3R2;TYROBP;SYK;FCER1G;ARPC1B;ITGAM;TREM2;RAC3;TREM1;VAV3;RAC2;PIK3CD;HCK;PTPN6;VAV1,LAT;C1QA;C1QC;NCF1;NCF4;C1QB;CYBA;ITGB2;PIK3R2;TYROBP;SYK;FCER1G;ARPC1B;ITGAM;TREM2;RAC3;TREM1;VAV3;RAC2;PIK3CD;HCK;PTPN6;VAV1;NCF2;NCKAP1L;PIK3CG;CYBB;LYN;PIK3R3;PIK3CA;PLCG2;VAV2;RAC1;PIK3CB;PIK3R1;PIK3C2A;PIK3C3,"[152, 196, 280, 306, 392, 399, 470, 507, 526, 656, 810, 857, 965, 1038, 1129, 1404, 1425, 1461, 1635, 1757, 1914, 2040, 2128, 3164, 3466, 5764, 5847, 6593, 6685, 7246, 8064, 8155, 9784, 12207, 13367, 14250, 14671]",WikiPathways_2024_Mouse__Microglia Pathogen Phagocytosis Pathway WP3626
WikiPathways_2024_Mouse,Cytoplasmic Ribosomal Proteins WP163,prerank,0.5691856625666822,2.1945343922366076,0.0,0.0010279933828325105,0.002,66_76,66/76,35.77%,RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPL13;RPS10;RPL34;RPL18;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPS5;RPL27;RPS11;RPL28;RPL38;RPL24;RPS29;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6KA1;RPS6;RPS27A;RPL3;RPS7;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPS18;RPL32;RPL19;RPS13;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPS2;RPS27;RPL10;RPS15A;RPL30;RPL22;RPL17;RPL37;RPLP0,RPS21;RPL36;RPS19;RPS15;RPS16;RPLP1;RPL13;RPS10;RPL34;RPL18;RPL9;RPS8;RPL18A;RPS3;RPS26;RPS28;RPL13A;RPL37A;RPL8;RPL31;RPS5;RPL27;RPS11;RPL28;RPL38;RPL24;RPS29;RPS20;RPS12;RPL35;RPL35A;RPS24;RPL6;RPS17;RPS6KA1;RPS6;RPS27A;RPL3;RPS7;RPS25;RPS14;RPL7A;RPL29;RPL23A;RPL36A;RPS18;RPL32;RPL19;RPS13;RPL7;RPSA;RPL27A;RPL11;RPS4X;RPL4;RPL39;FAU;RPS2;RPS27;RPL10;RPS15A;RPL30;RPL22;RPL17;RPL37;RPLP0;RPL41;RPS23;RPL10A;RPL21;RPS6KB2;RPL12;RPS6KA2;RPS6KA3;RPL15;RPL26,"[1679, 2297, 2336, 2583, 2683, 2741, 2917, 3058, 3066, 3110, 3204, 3240, 3274, 3341, 3446, 3464, 3478, 3513, 3549, 3614, 3685, 3894, 3907, 3938, 3947, 4014, 4056, 4125, 4156, 4163, 4202, 4212, 4220, 4247, 4277, 4340, 4464, 4465, 4486, 4542, 4601, 4603, 4699, 4751, 4782, 4800, 4803, 4864, 4883, 4984, 5014, 5032, 5044, 5294, 5360, 5363, 5365, 5472, 5753, 5905, 5993, 6030, 6109, 6172, 6213, 6265, 6566, 6735, 7111, 7173, 7282, 8419, 8732, 9145, 10085, 16730]",WikiPathways_2024_Mouse__Cytoplasmic Ribosomal Proteins WP163
WikiPathways_2024_Mouse,Fibrin Complement Receptor 3 Signaling Pathway WP5128,prerank,0.6233729716160352,2.1791986752370667,0.0,0.0011564925556865745,0.003,22_40,22/40,18.88%,LBP;RELA;ITGB2;CCL2;TYROBP;LY96;IL6;SYK;FCER1G;CXCL3;ITGAM;CD14;IRAK2;TNF;CXCL10;IRF3;TICAM1;SRC;TLR4;IKBKB;IRAK1;MYD88,LBP;RELA;ITGB2;CCL2;TYROBP;LY96;IL6;SYK;FCER1G;CXCL3;ITGAM;CD14;IRAK2;TNF;CXCL10;IRF3;TICAM1;SRC;TLR4;IKBKB;IRAK1;MYD88;NFKB1;AKT1;PLAT;IL12B;PIK3CA;IKBKG;RHOA;RASSF5;IRAK4;TLR3;CHUK;TRAF6;PLG;NOS2;CBLB;TIRAP;TICAM2;REL,"[299, 401, 507, 636, 656, 686, 719, 810, 857, 873, 1038, 1238, 1247, 1526, 1647, 1781, 2008, 2680, 2939, 3163, 3238, 3306, 4057, 5056, 5388, 5684, 7246, 7641, 7805, 8014, 8469, 10466, 10904, 11426, 11564, 12760, 14616, 14796, 14963, 15061]",WikiPathways_2024_Mouse__Fibrin Complement Receptor 3 Signaling Pathway WP5128
WikiPathways_2024_Mouse,Apoptosis WP1254,prerank,0.544215850000204,2.110659030059048,0.0,0.0012335920593990126,0.004,33_73,33/73,18.43%,LTA;IRF7;CASP7;IGF2;CASP4;RELA;NFKBIA;TNFRSF1A;TNFRSF1B;CASP1;IRF1;TNFRSF10B;MYC;TRAF2;IRF5;BIRC3;TNFRSF25;TNF;MCL1;BID;IRF3;BCL2;CASP6;PMAIP1;IGF1R;JUN;BIRC5;BCL2L1;BAX;BOK;PRF1;IKBKB;BAD,LTA;IRF7;CASP7;IGF2;CASP4;RELA;NFKBIA;TNFRSF1A;TNFRSF1B;CASP1;IRF1;TNFRSF10B;MYC;TRAF2;IRF5;BIRC3;TNFRSF25;TNF;MCL1;BID;IRF3;BCL2;CASP6;PMAIP1;IGF1R;JUN;BIRC5;BCL2L1;BAX;BOK;PRF1;IKBKB;BAD;NFKBIB;TRADD;NFKB1;BCL2L11;RIPK1;TRAF1;AKT1;IRF2;DFFB;CASP2;BIRC2;CFLAR;CASP9;MAP3K1;IKBKG;DFFA;TRAF3;MAP2K4;NFKBIE;HELLS;CRADD;XIAP;IRF4;MAPK10;FAS;CHUK;CASP8;APAF1;CASP3;BCL2L2;HRK;TNFRSF21;PIK3R1;MDM2;SCAF11;DIABLO;BNIP3L;TNFSF10;IGF1;IRF6,"[209, 229, 263, 278, 394, 401, 438, 465, 525, 580, 753, 900, 1027, 1193, 1337, 1351, 1360, 1526, 1560, 1667, 1781, 1935, 2147, 2205, 2274, 2405, 2532, 2851, 2888, 2972, 2997, 3163, 3228, 3587, 3997, 4057, 4089, 4099, 5013, 5056, 5196, 5586, 6168, 6635, 6908, 6927, 7092, 7641, 7685, 7749, 8171, 8362, 8569, 9024, 9351, 9586, 10274, 10342, 10904, 11055, 11485, 11745, 12028, 12663, 12698, 13367, 13617, 14085, 14118, 15148, 15232, 16385, 17365]",WikiPathways_2024_Mouse__Apoptosis WP1254
WikiPathways_2024_Mouse,Oxidative Damage Response WP1496,prerank,0.6052535992212548,2.0681753453064977,0.0,0.0012849917285406383,0.005,12_37,12/37,11.05%,C1QA;C1QC;C3AR1;C1QB;C5AR1;TNFRSF1B;C4B;CDKN1A;TRAF2;TNF;C2;BCL2,C1QA;C1QC;C3AR1;C1QB;C5AR1;TNFRSF1B;C4B;CDKN1A;TRAF2;TNF;C2;BCL2;BAD;TNK2;TDP2;NFKB1;TRAF1;GADD45A;PCNA;CASP9;MAP3K1;CDKN1B;TRAF3;MAP2K4;NFKBIE;BAK1;MAPK13;CDKN1C;MAPK10;BAG4;TRAF6;APAF1;CASP3;CYCS;CDC42;MAP3K9;CR2,"[196, 280, 349, 399, 497, 525, 535, 715, 1193, 1526, 1909, 1935, 3228, 3351, 3964, 4057, 5013, 6156, 6509, 6927, 7092, 7474, 7749, 8171, 8362, 8374, 8840, 8841, 10274, 11053, 11426, 11485, 11745, 12163, 13775, 14477, 15881]",WikiPathways_2024_Mouse__Oxidative Damage Response WP1496
WikiPathways_2024_Mouse,IL 6 Signaling Pathway WP387,prerank,0.4845960043764175,1.9854279502911907,0.0,0.004625970222746297,0.02,36_97,36/97,21.09%,HSPB1;SOCS3;FGR;CEBPB;PIK3R2;INPPL1;FES;IL6;EIF4EBP1;PXN;INPP5D;MAPKAPK2;HSP90AA1;PLCG1;FOXO4;FOS;PPP2R1B;CD40;BTK;HCK;ERBB2;VAV1;TYK2;DAXX;MAPK3;TEC;JUN;HDAC1;HNF1A;FOXO1;CREBBP;BAD;FYN;SGK1;STAT3;STAT5A,HSPB1;SOCS3;FGR;CEBPB;PIK3R2;INPPL1;FES;IL6;EIF4EBP1;PXN;INPP5D;MAPKAPK2;HSP90AA1;PLCG1;FOXO4;FOS;PPP2R1B;CD40;BTK;HCK;ERBB2;VAV1;TYK2;DAXX;MAPK3;TEC;JUN;HDAC1;HNF1A;FOXO1;CREBBP;BAD;FYN;SGK1;STAT3;STAT5A;MAP2K2;NFKB1;SHC1;HRAS;RAF1;AKT1;PPP2R5A;CDK9;IL6ST;MAP2K1;GAB1;STAT5B;CDK5;PPP2CB;SOS1;LYN;PTK2B;CASP9;PPP2R1A;MAP3K4;EP300;MAPK14;AR;PPP2R5D;MAP2K6;FOXO3;RPS6KB1;MAP2K4;NCOA1;RPS6KA2;JAK1;JAK2;MAP3K7;RB1;PRKCD;RAC1;PPP2R5B;GRB2;MAPT;PPP2R5C;CDK5R1;PPP2R2A;PPP2CA;MAPK1;ERBB3;PPP2R5E;CASP3;GAB2;EIF2A;NLK;PIK3R1;PPP2R2C;MAPK8;PTPN11;GSK3B;PPP2R3A;PPP2R2B;EIF4E;PTK2;STAT1;BMX,"[4, 158, 382, 464, 526, 695, 696, 719, 768, 856, 868, 941, 996, 1030, 1086, 1219, 1640, 1644, 1801, 1914, 1996, 2128, 2267, 2350, 2396, 2401, 2405, 2627, 2915, 3040, 3077, 3228, 3313, 3436, 3562, 3694, 3848, 4057, 4467, 4564, 4575, 5056, 5176, 5587, 5726, 5838, 5970, 6102, 6193, 6348, 6414, 6593, 6612, 6927, 6966, 7245, 7366, 7542, 7574, 7655, 7669, 7929, 8108, 8171, 8350, 8732, 8760, 8819, 9199, 9270, 9634, 9784, 9963, 10155, 10181, 10341, 10566, 10733, 11081, 11454, 11491, 11555, 11745, 12098, 12585, 13328, 13367, 13560, 13764, 13915, 13944, 14144, 14546, 14751, 15420, 16067, 16441]",WikiPathways_2024_Mouse__IL 6 Signaling Pathway WP387
WikiPathways_2024_Mouse,White Fat Cell Differentiation WP2872,prerank,0.5984999009747795,1.9376583708284496,0.0021008403361344537,0.005859562282145309,0.036,18_30,18/30,21.09%,KLF15;CEBPD;CEBPB;TCF7L1;KLF2;GATA3;TLE3;GATA2;KLF4;DDIT3;IRF3;NR1H3;KLF5;MECOM;FOXO1;CEBPA;PPARG;STAT5A,KLF15;CEBPD;CEBPB;TCF7L1;KLF2;GATA3;TLE3;GATA2;KLF4;DDIT3;IRF3;NR1H3;KLF5;MECOM;FOXO1;CEBPA;PPARG;STAT5A;RARA;STAT5B;NR2F2;RORA;CTNNA1;WNT10B;IRF4;CREB1;SREBF1;NR3C1;EBF1;EGR2,"[231, 312, 464, 550, 811, 951, 1298, 1410, 1437, 1519, 1781, 1900, 1906, 2275, 3040, 3219, 3389, 3694, 4735, 6102, 6366, 7937, 8375, 8460, 9586, 9625, 10078, 12532, 14294, 17423]",WikiPathways_2024_Mouse__White Fat Cell Differentiation WP2872
WikiPathways_2024_Mouse,Type II Interferon Signaling IFNG WP1253,prerank,0.6017873142770103,1.9445196144866894,0.0,0.006167960296995063,0.034,12_28,12/28,15.16%,SOCS3;IRF8;SPI1;CXCL9;IRF1;CIITA;ICAM1;CXCL10;SOCS1;TAP1;IFNGR2;IL1B,SOCS3;IRF8;SPI1;CXCL9;IRF1;CIITA;ICAM1;CXCL10;SOCS1;TAP1;IFNGR2;IL1B;IRF9;ISG15;IRF2;IFNGR1;CYBB;PSMB9;JAK1;JAK2;STAT2;IRF4;PRKCD;EIF2AK2;IFIT2;NOS2;PTPN11;STAT1,"[158, 613, 677, 692, 753, 815, 847, 1647, 1768, 1919, 2560, 2654, 3170, 4942, 5196, 5652, 5847, 8351, 8760, 8819, 9251, 9586, 9634, 9688, 12748, 12760, 13915, 16067]",WikiPathways_2024_Mouse__Type II Interferon Signaling IFNG WP1253
WikiPathways_2024_Mouse,Adipogenesis Genes WP447,prerank,0.45677432072617313,1.9503969044468195,0.0,0.006167960296995063,0.03,52_124,52/124,20.34%,MEF2B;PCK1;SOCS3;KLF15;CEBPD;LIF;CFD;CEBPB;BMP4;PLIN2;TGFB1;RETN;IL6;LPIN3;GADD45B;GATA3;ID3;TWIST1;SLC2A4;CNTFR;AGRP;FOXC2;TLE3;RXRA;GATA2;DDIT3;TNF;BMP1;AGPAT2;NR2F1;E2F4;SOCS1;NR1H3;KLF5;SERPINE1;PPARA;FZD1;WNT5B;WWTR1;DVL1;LPIN1;STAT6;HNF1A;FOXO1;MIF;RXRG;CEBPA;GDF10;PPARG;OSM;KLF6;STAT3,MEF2B;PCK1;SOCS3;KLF15;CEBPD;LIF;CFD;CEBPB;BMP4;PLIN2;TGFB1;RETN;IL6;LPIN3;GADD45B;GATA3;ID3;TWIST1;SLC2A4;CNTFR;AGRP;FOXC2;TLE3;RXRA;GATA2;DDIT3;TNF;BMP1;AGPAT2;NR2F1;E2F4;SOCS1;NR1H3;KLF5;SERPINE1;PPARA;FZD1;WNT5B;WWTR1;DVL1;LPIN1;STAT6;HNF1A;FOXO1;MIF;RXRG;CEBPA;GDF10;PPARG;OSM;KLF6;STAT3;STAT5A;PLIN1;IRS2;ZMPSTE24;NCOR2;SP1;RARA;PPARD;LMNA;IRS1;AGT;HMGA1;RBL1;IL6ST;SMAD3;STAT5B;GADD45A;LPIN2;LIFR;CELF1;TRIB3;E2F1;FRZB;EPAS1;RORA;HIF1A;PCK2;NCOA1;WNT10B;NAMPT;STAT2;RB1;AHR;NDN;BSCL2;LPL;CREB1;CYP26A1;FABP4;MBNL1;SREBF1;CISD1;FAS;BMP3;NCOR1;KLF7;LIPE;MEF2D;BMP2;PPARGC1A;NCOA2;NR3C1;DLK1;CYP26B1;RBL2;CTNNB1;NSG1;NRIP1;MEF2C;EBF1;IRS4;SPOCK1;MEF2A;PRLR;STAT1;IGF1;WNT1;PNPLA3;PTGIS;MIXL1;SFRP4;EGR2,"[71, 139, 158, 231, 312, 352, 367, 464, 483, 537, 664, 672, 719, 736, 762, 951, 956, 1046, 1137, 1224, 1235, 1240, 1298, 1409, 1410, 1519, 1526, 1594, 1659, 1699, 1736, 1768, 1900, 1906, 1969, 1970, 2005, 2073, 2096, 2240, 2639, 2660, 2915, 3040, 3194, 3203, 3219, 3310, 3389, 3455, 3544, 3562, 3694, 3895, 4288, 4421, 4624, 4636, 4735, 4819, 4905, 4919, 5108, 5375, 5625, 5726, 5959, 6102, 6156, 6477, 6638, 6929, 7236, 7791, 7856, 7874, 7937, 8186, 8240, 8350, 8460, 9148, 9251, 9270, 9440, 9473, 9544, 9605, 9625, 9721, 9876, 9907, 10078, 10319, 10342, 10771, 10785, 10862, 11105, 11119, 11288, 11703, 11841, 12532, 12589, 13273, 13331, 13480, 13563, 14013, 14202, 14294, 14370, 14628, 14792, 15519, 16067, 16385, 16459, 16968, 17094, 17136, 17173, 17423]",WikiPathways_2024_Mouse__Adipogenesis Genes WP447
WikiPathways_2024_Mouse,Complement Activation Classical Pathway WP200,prerank,0.7609252362625702,1.9232862099112735,0.003816793893129771,0.006868864876199047,0.046,8_12,8/12,10.90%,C1QA;C1QC;C7;C1QB;C4B;C3;C4A;C2,C1QA;C1QC;C7;C1QB;C4B;C3;C4A;C2;C9;CD55;MASP1;C6,"[196, 280, 340, 399, 535, 554, 1070, 1909, 4373, 7327, 13721, 15917]",WikiPathways_2024_Mouse__Complement Activation Classical Pathway WP200
WikiPathways_2024_Mouse,IL 3 Signaling Pathway WP373,prerank,0.4619165140812457,1.8864424685762142,0.0,0.008352446235514148,0.059,38_95,38/95,20.34%,HSPB1;MMP9;SOCS3;LCK;TNFRSF1B;PIK3R2;MRAS;SPI1;FES;SYK;PXN;INPP5D;MAPKAPK2;RXRA;GATA2;CISH;RAC2;PIK3CD;HCK;BCL2;PTPN6;VAV1;TYK2;MAPK3;TEC;BIRC5;STAT6;SRC;BCL2L1;MATK;BAX;SLC2A1;FOXO1;BAD;ATF1;FYN;SOCS2;STAT3,HSPB1;MMP9;SOCS3;LCK;TNFRSF1B;PIK3R2;MRAS;SPI1;FES;SYK;PXN;INPP5D;MAPKAPK2;RXRA;GATA2;CISH;RAC2;PIK3CD;HCK;BCL2;PTPN6;VAV1;TYK2;MAPK3;TEC;BIRC5;STAT6;SRC;BCL2L1;MATK;BAX;SLC2A1;FOXO1;BAD;ATF1;FYN;SOCS2;STAT3;STAT5A;NFKB1;BCL2L11;RAPGEF1;MAPK7;SHC1;HRAS;RAF1;RARA;CRK;CBL;AKT1;GSK3A;ID1;RAP1A;CRKL;MAP2K1;GAB1;STAT5B;SOS1;LYN;PIK3CA;RPS6KB2;MAPK14;CSF2RB;ATF2;DNM1;JAK1;JAK2;PRKACA;CREB1;RAC1;GRB2;PRKCA;PPP2CA;MAPK1;KCNIP3;GAB2;VCL;KRAS;CHEK1;YWHAB;PIK3R1;YWHAZ;MAPK9;MAPK8;CDC42;PTPN11;GSK3B;MMP2;PRKCB;PTK2;PAK1;GATA1;STAT1;SELP;BMX,"[4, 9, 158, 292, 525, 526, 651, 677, 696, 810, 856, 868, 941, 1409, 1410, 1417, 1635, 1757, 1914, 1935, 2040, 2128, 2267, 2396, 2401, 2532, 2660, 2680, 2851, 2855, 2888, 3001, 3040, 3228, 3239, 3313, 3433, 3562, 3694, 4057, 4089, 4127, 4392, 4467, 4564, 4575, 4735, 4758, 4760, 5056, 5300, 5430, 5674, 5689, 5838, 5970, 6102, 6414, 6593, 7246, 7282, 7542, 7897, 8026, 8452, 8760, 8819, 8995, 9625, 9784, 10155, 10548, 11081, 11454, 11733, 12098, 12508, 12990, 13033, 13201, 13367, 13740, 13747, 13764, 13775, 13915, 13944, 14153, 15245, 15420, 15429, 15745, 16067, 16232, 16441]",WikiPathways_2024_Mouse__IL 3 Signaling Pathway WP373
WikiPathways_2024_Mouse,Hedgehog Signaling Pathway WP116,prerank,0.6321276775220749,1.8692911308718674,0.004140786749482402,0.009963628172068948,0.078,11_22,11/22,21.08%,IHH;GLI1;GAS1;IGF2;SMO;GLI2;PTCH2;GLI3;CREBBP;SUFU;STK36,IHH;GLI1;GAS1;IGF2;SMO;GLI2;PTCH2;GLI3;CREBBP;SUFU;STK36;RAB23;SHH;SKI;CCNB1;CDK1;SAP18;PTCH1;DYRK1A;DHH;SIN3A;HHIP,"[51, 198, 228, 278, 567, 787, 1928, 2224, 3077, 3617, 3691, 4983, 5253, 5856, 8100, 8675, 9180, 9434, 10400, 11511, 11790, 15085]",WikiPathways_2024_Mouse__Hedgehog Signaling Pathway WP116
WikiPathways_2024_Mouse,IL 1 Signaling Pathway WP37,prerank,0.5348069860214857,1.8214781429337596,0.0,0.013569512653389139,0.118,18_35,18/35,23.57%,IL1R2;RELA;NFKBIA;CASP1;IL1RN;IRAK3;PLCG1;IRAK2;MAPK3;IL1B;TAB2;IRAK1;MYD88;CAPN1;IL1R1;NFKBIB;NFKB1;SQSTM1,IL1R2;RELA;NFKBIA;CASP1;IL1RN;IRAK3;PLCG1;IRAK2;MAPK3;IL1B;TAB2;IRAK1;MYD88;CAPN1;IL1R1;NFKBIB;NFKB1;SQSTM1;SIRPA;AKT1;MAP2K1;PELI1;CAPNS1;TOLLIP;IRAK4;MAP3K7;CHUK;TRAF6;MAPK1;PRKCZ;TAB1;MAPK8;PTPN11;IL1RAP;IL1A,"[33, 401, 438, 580, 793, 950, 1030, 1247, 2396, 2654, 2799, 3238, 3306, 3314, 3361, 3587, 4057, 4128, 4625, 5056, 5838, 6476, 6549, 7314, 8469, 9199, 10904, 11426, 11454, 12117, 12654, 13764, 13915, 14062, 14936]",WikiPathways_2024_Mouse__IL 1 Signaling Pathway WP37
WikiPathways_2024_Mouse,Endochondral Ossification WP1270,prerank,0.4921298527249182,1.825335709317163,0.0,0.014098194964560145,0.116,19_56,19/56,14.86%,SERPINH1;MMP9;IHH;IGF2;RUNX3;SCIN;PTH1R;SLC38A2;TGFB1;VEGFA;TGFB2;COL2A1;FGF2;SOX9;CHST11;GLI3;IGF1R;BMP7;TIMP3,SERPINH1;MMP9;IHH;IGF2;RUNX3;SCIN;PTH1R;SLC38A2;TGFB1;VEGFA;TGFB2;COL2A1;FGF2;SOX9;CHST11;GLI3;IGF1R;BMP7;TIMP3;HDAC4;ADAMTS1;FGFR3;THRA;PLAU;FGFR1;SOX5;AKT1;SPP1;ENPP1;PLAT;STAT5B;BMPR1A;ACAN;RUNX2;GHR;ALPL;FRZB;FGF18;CDKN1C;PRKACA;MGP;PTCH1;SOX6;CAB39;IFT88;COL10A1;CALM1;MEF2C;KIF3A;DDR2;STAT1;ADAMTS4;PTHLH;IGF1;HMGCS1;ADAMTS5,"[5, 9, 51, 278, 371, 393, 443, 573, 664, 930, 972, 1158, 1446, 1483, 1587, 2224, 2274, 2536, 2602, 3141, 3516, 3534, 3887, 3981, 4268, 4821, 5056, 5115, 5263, 5388, 6102, 6667, 6830, 6869, 7125, 7418, 7856, 8285, 8841, 8995, 9257, 9434, 9459, 11027, 11820, 11850, 13283, 14202, 15075, 15872, 16067, 16093, 16131, 16385, 16564, 17472]",WikiPathways_2024_Mouse__Endochondral Ossification WP1270
WikiPathways_2024_Mouse,Apoptosis Modulation By HSP70 WP166,prerank,0.6643946142749741,1.8042743401245058,0.004166666666666667,0.014422142459150222,0.142,5_16,5/16,12.26%,HSPA1A;CASP7;TNFRSF1A;BID;CASP6,HSPA1A;CASP7;TNFRSF1A;BID;CASP6;NFKB1;RIPK1;CASP2;CASP9;MAP3K1;MAPK10;FAS;AIFM1;CASP8;APAF1;CASP3,"[2, 263, 465, 1667, 2147, 4057, 4099, 6168, 6927, 7092, 10274, 10342, 10367, 11055, 11485, 11745]",WikiPathways_2024_Mouse__Apoptosis Modulation By HSP70 WP166
